EDAD_ANOS;SEXO1;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
48;Desconocido;16;15;1;10;8
48;Hombre;119344;117654;3231;112199;80681
48;Intersex (Indeterminado);355;348;11;328;177
48;Mujer;125182;124285;2423;120710;92853
49;Desconocido;15;15;1;14;10
49;Hombre;116738;115136;2940;109520;79751
49;Intersex (Indeterminado);317;310;13;301;186
49;Mujer;123169;122328;2295;118981;92062
50;Desconocido;20;19;1;16;12
50;Hombre;113216;111735;2722;106740;78668
50;Intersex (Indeterminado);317;310;8;298;184
50;Mujer;119361;118555;2168;115252;89909
51;Desconocido;18;17;1;17;12
51;Hombre;108775;107438;2487;102533;75968
51;Intersex (Indeterminado);285;279;10;272;158
51;Mujer;115301;114541;1975;111378;87283
52;Desconocido;20;20;1;17;11
52;Hombre;110699;109432;2410;104550;77911
52;Intersex (Indeterminado);269;265;11;247;148
52;Mujer;118642;117938;1964;114579;90197
53;Desconocido;19;19;;15;9
53;Hombre;113012;111730;2379;106712;80249
53;Intersex (Indeterminado);225;221;8;209;106
53;Mujer;120534;119837;1821;116475;92282
54;Desconocido;23;23;1;21;15
54;Hombre;112670;111440;2241;106867;81715
54;Intersex (Indeterminado);214;210;8;203;116
54;Mujer;121414;120744;1678;117374;94221
55;Desconocido;20;20;1;21;18
55;Hombre;112980;111835;2101;107351;83232
55;Intersex (Indeterminado);197;196;9;190;109
55;Mujer;122329;121682;1582;118435;95542
56;Desconocido;13;13;2;15;10
56;Hombre;112406;111227;2028;106717;83334
56;Intersex (Indeterminado);227;220;9;215;117
56;Mujer;122126;121453;1483;118085;95824
57;Desconocido;20;20;;18;13
57;Hombre;110539;109494;1794;104986;82493
57;Intersex (Indeterminado);195;194;10;184;119
57;Mujer;120448;119881;1392;116454;94800
58;Desconocido;15;15;1;15;9
58;Hombre;110506;109386;1776;105072;82911
58;Intersex (Indeterminado);162;160;8;150;84
58;Mujer;120638;119929;1349;116522;95567
59;Desconocido;18;17;;17;11
59;Hombre;105007;104004;1620;99694;78960
59;Intersex (Indeterminado);155;153;8;141;80
59;Mujer;115590;114998;1157;111549;91457
60;Desconocido;14;14;;14;11
60;Hombre;103814;102891;772;98168;78737
60;Intersex (Indeterminado);118;116;3;110;52
60;Mujer;114748;114114;555;110170;91410
61;Desconocido;10;9;;9;5
61;Hombre;95945;95052;122;89993;72826
61;Intersex (Indeterminado);97;96;;85;44
61;Mujer;106560;105970;62;101996;84928
62;Desconocido;11;10;;10;10
62;Hombre;92848;92065;64;87329;71280
62;Intersex (Indeterminado);95;93;;81;39
62;Mujer;103222;102728;47;98803;82977
63;Desconocido;13;13;;12;11
63;Hombre;90513;89799;60;85529;70451
63;Intersex (Indeterminado);100;97;;86;48
63;Mujer;100503;99987;32;96221;81345
64;Desconocido;11;11;;10;6
64;Hombre;85979;85277;70;81118;67354
64;Intersex (Indeterminado);72;71;;63;25
64;Mujer;96085;95651;41;91959;78051
65;Desconocido;13;12;;11;9
65;Hombre;81404;80755;34;76888;64419
65;Intersex (Indeterminado);75;74;;69;41
65;Mujer;92219;91805;23;88220;75148
66;Desconocido;5;5;;5;5
66;Hombre;73720;73193;30;69658;58815
66;Intersex (Indeterminado);46;45;;38;21
66;Mujer;84740;84321;25;81014;69288
67;Desconocido;13;13;;13;12
67;Hombre;72617;72086;18;68869;58653
67;Intersex (Indeterminado);35;34;;30;17
67;Mujer;83886;83499;20;80298;68802
68;Desconocido;12;12;;12;11
68;Hombre;66556;66088;26;62942;53533
68;Intersex (Indeterminado);35;35;;33;16
68;Mujer;77316;76923;17;73905;63511
69;Desconocido;13;13;;11;6
69;Hombre;61495;61048;19;58147;49754
69;Intersex (Indeterminado);32;32;;27;12
69;Mujer;71724;71370;11;68506;59121
70;Desconocido;13;13;;11;9
70;Hombre;57692;57280;18;54575;46902
70;Intersex (Indeterminado);23;23;;20;10
70;Mujer;68042;67709;10;64950;55917
71;Desconocido;13;12;;11;9
71;Hombre;55153;54727;8;51897;44797
71;Intersex (Indeterminado);20;20;;18;9
71;Mujer;65780;65424;9;62651;53924
72;Desconocido;8;8;;8;6
72;Hombre;52376;52003;11;49448;42532
72;Intersex (Indeterminado);14;14;;10;7
72;Mujer;63475;63162;7;60343;51948
73;Desconocido;9;9;;9;8
73;Hombre;49326;48918;12;46309;39736
73;Intersex (Indeterminado);14;14;;12;10
73;Mujer;60394;60031;10;57248;49058
74;Desconocido;7;7;;7;7
74;Hombre;45993;45620;7;43062;36801
74;Intersex (Indeterminado);10;10;;10;6
74;Mujer;57310;56991;7;54132;45934
75;Desconocido;10;10;;9;8
75;Hombre;42949;42572;3;40054;34183
75;Intersex (Indeterminado);12;12;;12;8
75;Mujer;54209;53867;6;51129;43144
76;Desconocido;5;5;;5;4
76;Hombre;40061;39699;6;37111;31629
76;Intersex (Indeterminado);11;11;;11;8
76;Mujer;51553;51206;2;48385;40738
77;Desconocido;3;2;;2;2
77;Hombre;36129;35790;3;33386;28297
77;Intersex (Indeterminado);9;9;;9;5
77;Mujer;47146;46827;7;44074;36778
78;Desconocido;6;5;;5;2
78;Hombre;33455;33137;7;30775;25867
78;Intersex (Indeterminado);6;6;;5;4
78;Mujer;44819;44494;4;41583;34393
79;Desconocido;5;5;;5;4
79;Hombre;29970;29638;1;27426;22923
79;Intersex (Indeterminado);9;9;;5;3
79;Mujer;41440;41088;4;38226;31324
80;Desconocido;5;5;;4;3
80;Hombre;27842;27552;;25245;20841
80;Intersex (Indeterminado);3;3;;3;1
