REGION_CORTO;COD_COMUNA_FINAL;FECHA_INMUNIZACION;SUM_of_SUM_of_1aDOSIS;SUM_of_SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Antofagasta";2101;19/01/2021;1799;;
" Antofagasta";2201;19/01/2021;765;;
" Atacama";3101;19/01/2021;818;;
" Atacama";3202;19/01/2021;134;;
" Atacama";3301;19/01/2021;302;;
" Atacama";3304;19/01/2021;55;;
" Coquimbo";4101;19/01/2021;1074;;
" Coquimbo";4102;19/01/2021;1028;;
" Coquimbo";4103;19/01/2021;50;;
" Coquimbo";4104;19/01/2021;30;;
" Coquimbo";4105;19/01/2021;40;;
" Coquimbo";4106;19/01/2021;55;;
" Coquimbo";4201;19/01/2021;199;;
" Coquimbo";4202;19/01/2021;50;;
" Coquimbo";4203;19/01/2021;54;;
" Coquimbo";4204;19/01/2021;70;;
" Coquimbo";4301;19/01/2021;784;;
" Coquimbo";4302;19/01/2021;80;;
" Coquimbo";4303;19/01/2021;105;;
" Coquimbo";4304;19/01/2021;60;;
" Coquimbo";4305;19/01/2021;25;;
Libertador B. O'Higgins;6101;19/01/2021;1777;;
Libertador B. O'Higgins;6102;19/01/2021;50;;
Libertador B. O'Higgins;6103;19/01/2021;65;;
Libertador B. O'Higgins;6104;19/01/2021;105;;
Libertador B. O'Higgins;6105;19/01/2021;115;;
Libertador B. O'Higgins;6106;19/01/2021;95;;
Libertador B. O'Higgins;6107;19/01/2021;95;;
Libertador B. O'Higgins;6109;19/01/2021;90;;
Libertador B. O'Higgins;6110;19/01/2021;100;;
Libertador B. O'Higgins;6111;19/01/2021;70;;
Libertador B. O'Higgins;6112;19/01/2021;105;;
Libertador B. O'Higgins;6113;19/01/2021;165;;
Libertador B. O'Higgins;6114;19/01/2021;85;;
Libertador B. O'Higgins;6115;19/01/2021;450;;
Libertador B. O'Higgins;6116;19/01/2021;155;;
Libertador B. O'Higgins;6117;19/01/2021;240;;
Libertador B. O'Higgins;6201;19/01/2021;100;;
Libertador B. O'Higgins;6202;19/01/2021;50;;
Libertador B. O'Higgins;6203;19/01/2021;65;;
Libertador B. O'Higgins;6204;19/01/2021;110;;
Libertador B. O'Higgins;6205;19/01/2021;35;;
Libertador B. O'Higgins;6206;19/01/2021;75;;
Libertador B. O'Higgins;6301;19/01/2021;450;;
Libertador B. O'Higgins;6302;19/01/2021;125;;
Libertador B. O'Higgins;6303;19/01/2021;144;;
Libertador B. O'Higgins;6304;19/01/2021;115;;
Libertador B. O'Higgins;6305;19/01/2021;30;;
Libertador B. O'Higgins;6306;19/01/2021;48;;
Libertador B. O'Higgins;6307;19/01/2021;40;;
Libertador B. O'Higgins;6308;19/01/2021;30;;
Libertador B. O'Higgins;6309;19/01/2021;40;;
Libertador B. O'Higgins;6310;19/01/2021;540;;
" Aisén Gral. C. Ibáñez Campo";11101;19/01/2021;799;;
" Aisén Gral. C. Ibáñez Campo";11201;19/01/2021;125;;
" Aisén Gral. C. Ibáñez Campo";11301;19/01/2021;75;;
" Aisén Gral. C. Ibáñez Campo";11302;19/01/2021;10;;
" Aisén Gral. C. Ibáñez Campo";11401;19/01/2021;45;;
" Aisén Gral. C. Ibáñez Campo";11402;19/01/2021;19;;
Metropolitana  Santiago;13110;19/01/2021;;1;
" Arica y Parinacota";15101;19/01/2021;1179;;
" Arica y Parinacota";15201;19/01/2021;40;;
" Arica y Parinacota";15202;19/01/2021;9;;
" Ñuble";16101;19/01/2021;2083;;
" Ñuble";16102;19/01/2021;340;;
" Ñuble";16104;19/01/2021;165;;
" Ñuble";16109;19/01/2021;110;;
" Ñuble";16201;19/01/2021;141;;
" Ñuble";16203;19/01/2021;195;;
" Ñuble";16204;19/01/2021;49;;
" Ñuble";16301;19/01/2021;510;;
" Ñuble";16305;19/01/2021;125;;
" Antofagasta";2101;20/01/2021;747;;
" Antofagasta";2201;20/01/2021;25;;
" Atacama";3101;20/01/2021;496;;
" Atacama";3201;20/01/2021;85;;
" Atacama";3301;20/01/2021;196;;
" Atacama";3302;20/01/2021;47;;
" Atacama";3303;20/01/2021;47;;
" Coquimbo";4101;20/01/2021;922;;
" Coquimbo";4102;20/01/2021;403;;
" Coquimbo";4103;20/01/2021;50;;
" Coquimbo";4104;20/01/2021;30;;
" Coquimbo";4106;20/01/2021;75;;
" Coquimbo";4201;20/01/2021;189;;
" Coquimbo";4203;20/01/2021;50;;
