FECHA_INMUNIZACION;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4aDOSIS
17/06/2021;15;2;1;;;
17/06/2021;16;80;765;;;
17/06/2021;17;123;808;;;
18/06/2021;7;;1;;;
18/06/2021;9;1;1;;;
18/06/2021;12;2;;;;
18/06/2021;14;1;;;;
18/06/2021;15;2;1;;;
18/06/2021;16;124;297;;;
18/06/2021;17;165;359;;;
19/06/2021;12;18;;;;
19/06/2021;13;25;;;;
19/06/2021;14;26;;;;
19/06/2021;15;29;;;;
19/06/2021;16;57;107;;;
19/06/2021;17;68;138;;;
20/06/2021;15;1;;;;
20/06/2021;16;4;3;;;
20/06/2021;17;4;4;;;
21/06/2021;7;1;;;;
21/06/2021;12;95;;;;
21/06/2021;13;103;;;;
21/06/2021;14;120;;;;
21/06/2021;15;131;1;;;
21/06/2021;16;92;28;;;
21/06/2021;17;69;44;;;
22/06/2021;9;;1;;;
22/06/2021;11;1;;;;
22/06/2021;12;1026;1;;;
22/06/2021;13;1056;;;;
22/06/2021;14;1219;1;;;
22/06/2021;15;1425;2;;;
22/06/2021;16;936;294;;;
22/06/2021;17;1036;374;;;
23/06/2021;11;1;;;;
23/06/2021;12;1196;;;;
23/06/2021;13;1341;;;;
23/06/2021;14;1368;;;;
23/06/2021;15;1558;;;;
23/06/2021;16;1075;225;;;
23/06/2021;17;1156;251;;;
24/06/2021;6;1;;;;
24/06/2021;7;;2;;;
24/06/2021;8;1;;;;
24/06/2021;9;;1;;;
24/06/2021;11;1;;;;
24/06/2021;12;1483;;;;
24/06/2021;13;1536;1;;;
24/06/2021;14;1678;;;;
24/06/2021;15;1822;;;;
24/06/2021;16;1295;235;;;
24/06/2021;17;1453;302;;;
25/06/2021;7;;1;;;
25/06/2021;8;;1;;;
25/06/2021;9;1;;;;
25/06/2021;12;1480;;;;
25/06/2021;13;1611;;;;
25/06/2021;14;1668;;;;
25/06/2021;15;1791;1;;;
25/06/2021;16;1316;163;;;
25/06/2021;17;1387;219;;;
26/06/2021;12;308;;;;
26/06/2021;13;310;1;;;
26/06/2021;14;340;;;;
26/06/2021;15;383;;;;
26/06/2021;16;265;41;;;
26/06/2021;17;212;52;;;
27/06/2021;12;29;;;;
27/06/2021;13;30;;;;
27/06/2021;14;37;;;;
27/06/2021;15;31;1;;;
27/06/2021;16;20;4;;;
27/06/2021;17;14;3;;;
28/06/2021;12;56;;;;
28/06/2021;13;55;;;;
28/06/2021;14;42;;;;
28/06/2021;15;50;;;;
28/06/2021;16;46;1;;;
28/06/2021;17;54;5;;;
29/06/2021;8;1;1;;;
29/06/2021;9;1;;;;
29/06/2021;10;1;;;;
29/06/2021;12;1151;;;;
29/06/2021;13;1271;1;;;
29/06/2021;14;1305;1;;;
29/06/2021;15;1401;1;;;
29/06/2021;16;1123;336;;;
29/06/2021;17;2422;500;;;
30/06/2021;7;;1;;;
30/06/2021;9;;1;;;
30/06/2021;11;1;;;;
30/06/2021;12;1313;;;;
30/06/2021;13;1276;;;;
30/06/2021;14;1424;;;;
30/06/2021;15;1514;4;;;
30/06/2021;16;1204;293;;;
30/06/2021;17;3553;339;;;
01/07/2021;11;1;;;;
01/07/2021;12;1312;1;;;
01/07/2021;13;1496;7;;;
01/07/2021;14;1498;5;;;
01/07/2021;15;1495;8;;;
01/07/2021;16;1827;228;;;
01/07/2021;17;52804;294;;;
02/07/2021;6;;1;;;
02/07/2021;9;;1;;;
02/07/2021;11;;1;;;
02/07/2021;12;1347;9;;;
02/07/2021;13;1411;7;;;
02/07/2021;14;1505;5;;;
02/07/2021;15;1565;10;;;
02/07/2021;16;1676;152;;;
02/07/2021;17;34447;210;;;
03/07/2021;12;300;;;;
03/07/2021;13;322;;;;
03/07/2021;14;351;;;;
03/07/2021;15;347;1;;;
03/07/2021;16;342;44;;;
03/07/2021;17;3924;50;;;
04/07/2021;12;28;;;;
04/07/2021;13;28;;;;
04/07/2021;14;22;;;;
04/07/2021;15;37;;;;
04/07/2021;16;35;3;;;
04/07/2021;17;302;4;;;
05/07/2021;8;;1;;;
05/07/2021;10;1;;;;
