REGION_RESIDENCIA;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
" Aisén Gral. C. Ibáñez Campo";18;1164;1144;634;1628;1189
" Aisén Gral. C. Ibáñez Campo";19;1092;1081;601;1563;1163
" Aisén Gral. C. Ibáñez Campo";20;851;834;562;1247;861
" Aisén Gral. C. Ibáñez Campo";21;911;893;516;1236;857
" Aisén Gral. C. Ibáñez Campo";22;956;936;485;1251;845
" Aisén Gral. C. Ibáñez Campo";23;1082;1063;403;1314;928
" Aisén Gral. C. Ibáñez Campo";24;1146;1122;372;1297;870
" Aisén Gral. C. Ibáñez Campo";25;1299;1273;345;1428;985
" Aisén Gral. C. Ibáñez Campo";26;1395;1379;342;1528;1044
" Aisén Gral. C. Ibáñez Campo";27;1406;1392;322;1532;1091
" Aisén Gral. C. Ibáñez Campo";28;1476;1458;332;1618;1144
" Aisén Gral. C. Ibáñez Campo";29;1593;1572;312;1692;1201
" Aisén Gral. C. Ibáñez Campo";30;1708;1690;326;1823;1340
" Aisén Gral. C. Ibáñez Campo";31;1759;1742;295;1805;1309
" Aisén Gral. C. Ibáñez Campo";32;1714;1703;304;1814;1366
" Aisén Gral. C. Ibáñez Campo";33;1612;1595;311;1712;1290
" Aisén Gral. C. Ibáñez Campo";34;1530;1518;280;1635;1232
" Aisén Gral. C. Ibáñez Campo";35;1573;1561;223;1612;1228
" Aisén Gral. C. Ibáñez Campo";36;1479;1468;235;1585;1218
" Aisén Gral. C. Ibáñez Campo";37;1477;1467;234;1575;1214
" Aisén Gral. C. Ibáñez Campo";38;1478;1465;225;1563;1214
" Aisén Gral. C. Ibáñez Campo";39;1483;1473;209;1543;1227
" Aisén Gral. C. Ibáñez Campo";40;1542;1531;203;1612;1270
" Aisén Gral. C. Ibáñez Campo";41;1451;1439;178;1524;1207
" Aisén Gral. C. Ibáñez Campo";42;1449;1442;177;1507;1197
" Aisén Gral. C. Ibáñez Campo";43;1394;1383;173;1461;1171
" Aisén Gral. C. Ibáñez Campo";44;1347;1340;180;1437;1155
" Aisén Gral. C. Ibáñez Campo";45;1414;1407;180;1482;1211
" Aisén Gral. C. Ibáñez Campo";46;1334;1322;164;1384;1135
" Aisén Gral. C. Ibáñez Campo";47;1367;1361;152;1407;1144
" Aisén Gral. C. Ibáñez Campo";48;1302;1296;170;1392;1121
" Aisén Gral. C. Ibáñez Campo";49;1326;1318;133;1366;1111
" Aisén Gral. C. Ibáñez Campo";50;1298;1286;132;1335;1093
" Aisén Gral. C. Ibáñez Campo";51;1291;1279;126;1328;1056
" Aisén Gral. C. Ibáñez Campo";52;1234;1229;121;1271;1021
" Aisén Gral. C. Ibáñez Campo";53;1266;1260;115;1296;1065
" Aisén Gral. C. Ibáñez Campo";54;1314;1306;87;1333;1100
" Aisén Gral. C. Ibáñez Campo";55;1313;1307;103;1322;1081
" Aisén Gral. C. Ibáñez Campo";56;1256;1250;109;1287;1048
" Aisén Gral. C. Ibáñez Campo";57;1220;1207;92;1229;1001
" Aisén Gral. C. Ibáñez Campo";58;1170;1166;72;1175;947
" Aisén Gral. C. Ibáñez Campo";59;1208;1202;71;1196;982
" Aisén Gral. C. Ibáñez Campo";60;1192;1183;20;1145;953
" Aisén Gral. C. Ibáñez Campo";61;1191;1184;1;1122;952
" Aisén Gral. C. Ibáñez Campo";62;1074;1068;1;1003;846
" Aisén Gral. C. Ibáñez Campo";63;1104;1098;;1049;859
" Aisén Gral. C. Ibáñez Campo";64;1057;1052;2;1001;861
" Aisén Gral. C. Ibáñez Campo";65;996;992;;947;805
" Aisén Gral. C. Ibáñez Campo";66;916;908;;860;750
" Aisén Gral. C. Ibáñez Campo";67;837;831;;793;685
" Aisén Gral. C. Ibáñez Campo";68;807;800;;763;676
" Aisén Gral. C. Ibáñez Campo";69;720;716;;681;591
" Aisén Gral. C. Ibáñez Campo";70;662;656;;623;526
" Aisén Gral. C. Ibáñez Campo";71;584;580;;549;475
" Aisén Gral. C. Ibáñez Campo";72;540;535;;511;439
" Aisén Gral. C. Ibáñez Campo";73;525;522;;492;417
" Aisén Gral. C. Ibáñez Campo";74;503;496;;462;396
" Aisén Gral. C. Ibáñez Campo";75;447;444;;420;347
" Aisén Gral. C. Ibáñez Campo";76;411;409;;380;307
" Aisén Gral. C. Ibáñez Campo";77;377;374;;349;297
" Aisén Gral. C. Ibáñez Campo";78;381;377;;354;295
" Aisén Gral. C. Ibáñez Campo";79;339;335;;311;256
" Aisén Gral. C. Ibáñez Campo";80;318;314;;284;243
" Aisén Gral. C. Ibáñez Campo";81;274;271;;246;197
" Aisén Gral. C. Ibáñez Campo";82;261;257;;238;194
" Aisén Gral. C. Ibáñez Campo";83;217;216;;193;145
" Aisén Gral. C. Ibáñez Campo";84;199;198;;171;131
" Aisén Gral. C. Ibáñez Campo";85;176;174;;150;115
" Aisén Gral. C. Ibáñez Campo";86;152;151;;125;106
" Aisén Gral. C. Ibáñez Campo";87;126;121;;105;82
" Aisén Gral. C. Ibáñez Campo";88;113;112;;100;75
" Aisén Gral. C. Ibáñez Campo";89;95;92;;84;63
" Aisén Gral. C. Ibáñez Campo";90;93;90;;80;60
" Aisén Gral. C. Ibáñez Campo";91;79;76;;62;51
" Aisén Gral. C. Ibáñez Campo";92;55;52;;37;27
" Aisén Gral. C. Ibáñez Campo";93;32;32;;28;16
" Aisén Gral. C. Ibáñez Campo";94;27;27;;24;13
" Aisén Gral. C. Ibáñez Campo";95;21;21;;19;14
" Aisén Gral. C. Ibáñez Campo";96;19;19;;17;12
" Aisén Gral. C. Ibáñez Campo";97;6;6;;4;2
" Aisén Gral. C. Ibáñez Campo";98;10;10;;8;6
" Aisén Gral. C. Ibáñez Campo";99;4;4;;3;3
" Aisén Gral. C. Ibáñez Campo";100;3;3;;2;1
" Aisén Gral. C. Ibáñez Campo";101;1;1;;1;
" Aisén Gral. C. Ibáñez Campo";105;2;2;;1;1
" Aisén Gral. C. Ibáñez Campo";106;1;1;;;
" Aisén Gral. C. Ibáñez Campo";107;1;1;;1;
" Antofagasta";18;6552;6309;3282;8669;6498
" Antofagasta";19;8704;8399;1302;8692;6555
" Antofagasta";20;9774;9462;628;8951;6646
" Antofagasta";21;10313;9907;523;9246;6825
" Antofagasta";22;10876;10457;506;9722;7057
" Antofagasta";23;9639;9257;1919;9871;7132
" Antofagasta";24;10445;10059;1980;10763;7693
" Antofagasta";25;11690;11319;1004;10995;7981
" Antofagasta";26;12470;12082;731;11474;8483
" Antofagasta";27;12905;12572;633;11973;8890
" Antofagasta";28;13049;12712;626;12073;9083
" Antofagasta";29;12878;12586;624;11984;9192
" Antofagasta";30;13318;12991;526;12418;9564
" Antofagasta";31;13242;12957;525;12442;9665
" Antofagasta";32;12902;12621;483;12088;9409
" Antofagasta";33;12398;12150;483;11670;9263
" Antofagasta";34;11803;11566;438;11144;8842
" Antofagasta";35;11183;10988;375;10598;8486
" Antofagasta";36;10872;10682;376;10288;8357
" Antofagasta";37;10192;10009;380;9685;7886
" Antofagasta";38;10428;10263;337;9918;8153
" Antofagasta";39;10606;10427;326;10091;8343
" Antofagasta";40;10283;10116;285;9801;8133
" Antofagasta";41;9837;9699;287;9432;7871
" Antofagasta";42;9248;9122;269;8897;7507
" Antofagasta";43;9267;9153;253;8915;7617
" Antofagasta";44;9230;9119;219;8888;7654
" Antofagasta";45;9237;9132;172;8859;7645
" Antofagasta";46;9215;9103;180;8864;7684
" Antofagasta";47;9378;9259;150;9006;7808
" Antofagasta";48;9220;9114;136;8865;7741
" Antofagasta";49;8822;8722;119;8434;7379
" Antofagasta";50;8454;8359;119;8108;7156
" Antofagasta";51;7856;7762;102;7533;6690
" Antofagasta";52;7472;7396;95;7186;6329
" Antofagasta";53;7363;7292;82;7083;6255
" Antofagasta";54;7176;7111;82;6891;6144
" Antofagasta";55;7328;7272;82;7075;6311
" Antofagasta";56;7239;7175;77;6951;6183
" Antofagasta";57;7286;7216;57;6989;6198
" Antofagasta";58;7102;7033;74;6823;6092
" Antofagasta";59;6622;6570;49;6376;5679
" Antofagasta";60;6581;6523;16;6321;5683
" Antofagasta";61;5939;5895;3;5665;5076
" Antofagasta";62;5606;5567;3;5376;4837
" Antofagasta";63;5513;5469;4;5267;4752
" Antofagasta";64;5246;5212;2;5025;4522
" Antofagasta";65;4871;4842;1;4670;4208
" Antofagasta";66;4367;4334;;4175;3764
" Antofagasta";67;4210;4190;1;4030;3681
" Antofagasta";68;3881;3860;1;3715;3363
" Antofagasta";69;3364;3347;1;3218;2922
" Antofagasta";70;3217;3194;;3063;2735
" Antofagasta";71;2923;2909;;2794;2502
" Antofagasta";72;2662;2643;;2506;2268
" Antofagasta";73;2528;2509;;2381;2138
" Antofagasta";74;2285;2272;;2175;1959
" Antofagasta";75;2164;2143;;2033;1811
" Antofagasta";76;2016;1995;;1882;1656
" Antofagasta";77;1825;1810;;1706;1500
" Antofagasta";78;1714;1699;;1591;1376
" Antofagasta";79;1462;1446;1;1356;1169
" Antofagasta";80;1308;1295;;1197;1039
" Antofagasta";81;1213;1196;;1117;965
" Antofagasta";82;1062;1049;;967;817
" Antofagasta";83;936;922;;848;708
" Antofagasta";84;832;823;;750;648
" Antofagasta";85;765;755;;685;580
" Antofagasta";86;605;600;;541;421
" Antofagasta";87;525;516;;439;361
" Antofagasta";88;511;504;;439;348
" Antofagasta";89;458;445;;382;308
" Antofagasta";90;373;363;;309;245
" Antofagasta";91;313;306;;250;187
" Antofagasta";92;250;247;;209;165
" Antofagasta";93;179;174;;148;111
" Antofagasta";94;123;123;;97;67
" Antofagasta";95;100;96;;71;52
" Antofagasta";96;75;71;;61;46
" Antofagasta";97;41;40;;35;24
" Antofagasta";98;36;34;;26;19
" Antofagasta";99;18;16;;15;10
" Antofagasta";100;15;15;;13;8
" Antofagasta";101;8;7;;5;2
" Antofagasta";102;1;1;;1;1
" Antofagasta";103;2;1;;1;1
" Antofagasta";104;4;4;;3;1
" Antofagasta";106;1;1;;;
" Arica y Parinacota";18;3113;2979;609;3172;2214
" Arica y Parinacota";19;3285;3137;463;3153;2201
" Arica y Parinacota";20;3686;3513;325;3378;2379
" Arica y Parinacota";21;3718;3516;328;3338;2322
" Arica y Parinacota";22;3908;3715;350;3515;2410
" Arica y Parinacota";23;3696;3517;547;3515;2407
" Arica y Parinacota";24;3853;3694;437;3570;2458
" Arica y Parinacota";25;3922;3741;448;3650;2456
" Arica y Parinacota";26;3940;3766;362;3629;2519
" Arica y Parinacota";27;3922;3758;355;3614;2552
" Arica y Parinacota";28;3875;3725;294;3513;2486
" Arica y Parinacota";29;4019;3865;342;3717;2653
" Arica y Parinacota";30;4055;3930;309;3767;2711
" Arica y Parinacota";31;4093;3974;285;3860;2811
" Arica y Parinacota";32;3916;3806;315;3737;2717
" Arica y Parinacota";33;3881;3782;276;3694;2772
" Arica y Parinacota";34;3887;3786;283;3683;2750
" Arica y Parinacota";35;3696;3597;249;3533;2731
" Arica y Parinacota";36;3718;3626;240;3539;2734
" Arica y Parinacota";37;3396;3312;218;3238;2487
" Arica y Parinacota";38;3549;3464;253;3406;2644
" Arica y Parinacota";39;3560;3479;230;3390;2711
" Arica y Parinacota";40;3329;3254;220;3193;2533
" Arica y Parinacota";41;3256;3188;203;3106;2418
" Arica y Parinacota";42;3108;3029;195;2995;2389
" Arica y Parinacota";43;2981;2920;188;2883;2302
" Arica y Parinacota";44;3094;3047;174;3004;2443
" Arica y Parinacota";45;2974;2929;159;2855;2313
" Arica y Parinacota";46;3166;3108;174;3079;2524
" Arica y Parinacota";47;3246;3191;158;3124;2604
" Arica y Parinacota";48;3249;3204;154;3133;2607
" Arica y Parinacota";49;3103;3056;123;2986;2485
" Arica y Parinacota";50;3129;3085;123;3034;2543
" Arica y Parinacota";51;2836;2790;131;2734;2292
" Arica y Parinacota";52;2684;2640;105;2560;2149
" Arica y Parinacota";53;2593;2555;90;2505;2105
" Arica y Parinacota";54;2658;2632;94;2581;2194
" Arica y Parinacota";55;2655;2620;93;2579;2207
" Arica y Parinacota";56;2652;2623;83;2582;2229
" Arica y Parinacota";57;2624;2602;74;2543;2218
" Arica y Parinacota";58;2749;2715;93;2677;2310
" Arica y Parinacota";59;2419;2389;64;2313;2005
" Arica y Parinacota";60;2448;2420;31;2340;2062
" Arica y Parinacota";61;2318;2300;7;2204;1932
" Arica y Parinacota";62;2314;2289;1;2192;1910
" Arica y Parinacota";63;2220;2201;2;2103;1842
" Arica y Parinacota";64;2131;2120;2;2035;1839
" Arica y Parinacota";65;2073;2058;2;1981;1768
" Arica y Parinacota";66;2023;1995;;1907;1712
" Arica y Parinacota";67;1913;1896;;1811;1614
" Arica y Parinacota";68;1757;1749;;1673;1516
" Arica y Parinacota";69;1614;1600;;1523;1393
" Arica y Parinacota";70;1575;1562;;1506;1367
" Arica y Parinacota";71;1494;1477;;1412;1251
" Arica y Parinacota";72;1448;1433;1;1375;1240
" Arica y Parinacota";73;1413;1400;;1356;1201
" Arica y Parinacota";74;1326;1318;;1254;1115
" Arica y Parinacota";75;1258;1249;;1178;1044
" Arica y Parinacota";76;1089;1077;;1016;891
" Arica y Parinacota";77;1159;1143;;1060;928
" Arica y Parinacota";78;972;962;;899;793
" Arica y Parinacota";79;819;809;;753;653
" Arica y Parinacota";80;779;771;;708;611
" Arica y Parinacota";81;698;690;;628;542
" Arica y Parinacota";82;569;561;;498;409
" Arica y Parinacota";83;530;515;;471;384
" Arica y Parinacota";84;485;477;;437;360
" Arica y Parinacota";85;395;389;;355;278
" Arica y Parinacota";86;341;333;;291;226
" Arica y Parinacota";87;336;331;;275;219
" Arica y Parinacota";88;270;266;;223;170
" Arica y Parinacota";89;251;245;;208;158
" Arica y Parinacota";90;212;205;;166;122
" Arica y Parinacota";91;192;190;;158;121
" Arica y Parinacota";92;119;116;;95;73
" Arica y Parinacota";93;124;121;;92;63
" Arica y Parinacota";94;78;75;;59;41
" Arica y Parinacota";95;63;63;;52;32
" Arica y Parinacota";96;39;37;;21;11
" Arica y Parinacota";97;36;34;;24;14
" Arica y Parinacota";98;17;16;;11;8
" Arica y Parinacota";99;13;13;;9;4
" Arica y Parinacota";100;13;12;;7;1
" Arica y Parinacota";101;3;3;;1;1
" Arica y Parinacota";102;2;1;;1;1
" Arica y Parinacota";103;1;1;;;
" Arica y Parinacota";104;2;2;;1;1
" Atacama";18;3917;3781;713;3969;2668
" Atacama";19;4122;3974;427;3873;2647
" Atacama";20;4366;4188;291;3876;2628
" Atacama";21;4302;4138;303;3854;2530
" Atacama";22;4542;4354;272;4031;2748
" Atacama";23;4472;4285;295;3961;2624
" Atacama";24;4799;4629;270;4294;2919
" Atacama";25;5060;4892;263;4567;3180
" Atacama";26;5116;4944;247;4659;3245
" Atacama";27;5346;5182;214;4794;3368
" Atacama";28;5476;5320;233;5021;3597
" Atacama";29;5435;5288;241;4975;3635
" Atacama";30;5526;5394;224;5086;3707
" Atacama";31;5672;5522;224;5220;3884
" Atacama";32;5387;5258;206;4989;3755
" Atacama";33;5232;5112;174;4811;3635
" Atacama";34;4797;4717;164;4456;3353
" Atacama";35;4770;4688;186;4497;3419
" Atacama";36;4591;4517;167;4340;3356
" Atacama";37;4404;4299;145;4098;3173
" Atacama";38;4450;4374;142;4206;3276
" Atacama";39;4661;4572;127;4396;3549
" Atacama";40;4399;4325;127;4146;3289
" Atacama";41;4065;4005;117;3863;3116
" Atacama";42;4054;3998;106;3845;3117
" Atacama";43;4031;3986;102;3833;3194
" Atacama";44;3839;3780;114;3672;3032
" Atacama";45;3882;3828;91;3706;3070
" Atacama";46;4149;4082;121;3971;3324
" Atacama";47;3922;3868;97;3765;3139
" Atacama";48;3953;3889;82;3787;3196
" Atacama";49;3904;3847;76;3741;3168
" Atacama";50;3953;3895;68;3785;3206
" Atacama";51;3803;3756;81;3619;3051
" Atacama";52;3877;3844;66;3729;3168
" Atacama";53;4032;3993;72;3884;3340
" Atacama";54;3906;3861;66;3751;3228
" Atacama";55;3825;3782;59;3685;3141
" Atacama";56;3886;3845;63;3740;3270
" Atacama";57;3929;3894;62;3781;3256
" Atacama";58;3826;3791;53;3694;3183
" Atacama";59;3584;3546;52;3428;2963
" Atacama";60;3827;3792;15;3685;3246
" Atacama";61;3360;3325;5;3195;2842
" Atacama";62;3293;3263;3;3139;2765
" Atacama";63;3096;3077;1;2982;2628
" Atacama";64;2936;2916;3;2814;2509
" Atacama";65;2760;2742;2;2631;2318
" Atacama";66;2575;2556;2;2478;2184
" Atacama";67;2445;2432;1;2333;2097
" Atacama";68;2323;2305;2;2206;1949
" Atacama";69;2066;2052;;1964;1756
" Atacama";70;1845;1834;;1743;1570
" Atacama";71;1816;1806;;1720;1514
" Atacama";72;1623;1617;;1546;1390
" Atacama";73;1578;1570;2;1513;1329
" Atacama";74;1370;1362;;1289;1133
" Atacama";75;1418;1412;1;1354;1183
" Atacama";76;1298;1282;;1213;1045
" Atacama";77;1165;1152;;1091;942
" Atacama";78;1102;1093;;1011;876
" Atacama";79;1065;1053;;976;832
" Atacama";80;1017;1006;;931;782
" Atacama";81;815;799;;746;625
" Atacama";82;753;742;;669;546
" Atacama";83;647;637;;574;467
" Atacama";84;637;627;;551;437
" Atacama";85;562;556;;481;378
" Atacama";86;468;463;;413;323
" Atacama";87;386;378;;333;265
" Atacama";88;346;340;;296;218
" Atacama";89;340;328;;279;214
" Atacama";90;270;260;;225;179
" Atacama";91;213;209;;170;129
" Atacama";92;168;163;;131;89
" Atacama";93;116;115;;87;57
" Atacama";94;86;77;;65;37
" Atacama";95;54;51;;41;30
" Atacama";96;49;46;;39;29
" Atacama";97;35;35;;25;14
" Atacama";98;24;24;;19;14
" Atacama";99;19;19;;15;9
" Atacama";100;9;8;;6;5
" Atacama";101;3;3;;2;1
" Atacama";102;2;2;;2;1
" Atacama";103;1;1;;1;1
" Atacama";104;4;4;;2;2
" Atacama";106;1;1;;;
" Atacama";116;1;1;;1;1
" Atacama";121;2;2;1;3;1
" Coquimbo";18;8149;7908;3752;10645;7814
" Coquimbo";19;9850;9605;1736;10282;7568
" Coquimbo";20;11606;11291;857;10862;7837
" Coquimbo";21;11332;11006;654;10368;7374
" Coquimbo";22;11597;11269;696;10650;7562
" Coquimbo";23;10516;10162;1779;10635;7596
" Coquimbo";24;11275;10987;1573;11191;7993
" Coquimbo";25;11852;11535;1064;11182;7980
" Coquimbo";26;12528;12240;750;11538;8332
" Coquimbo";27;12954;12634;696;11906;8666
" Coquimbo";28;13031;12719;624;12023;8839
" Coquimbo";29;13034;12754;654;12107;9006
