"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2021-01-27";4;1.08485771677711;0.965309529991564;1.20440590356267
"2021-01-28";4;1.06718000919747;0.954289026894302;1.18007099150064
"2021-01-29";4;1.05476449140238;0.942847353728552;1.16668162907621
"2021-01-30";4;1.0635617545715;0.955016281969507;1.1721072271735
"2021-01-31";4;1.0674777644004;0.961909817537128;1.17304571126367
"2021-02-01";4;1.09107843211429;0.983481616379292;1.19867524784929
"2021-02-02";4;1.10592420058082;0.997734852139793;1.21411354902184
"2021-02-03";4;1.1246384721423;1.01330364513308;1.23597329915151
"2021-02-04";4;1.1025222611918;0.990963078485443;1.21408144389816
"2021-02-05";4;1.10197614559565;0.990231978476444;1.21372031271487
"2021-02-06";4;1.07421174017229;0.966069468419935;1.18235401192465
"2021-02-07";4;1.04682666682904;0.944632227908865;1.14902110574922
"2021-02-08";4;0.998771635922514;0.90356844548149;1.09397482636354
"2021-02-09";4;0.998733811830726;0.903177049656751;1.0942905740047
"2021-02-10";4;0.988747175989306;0.892807431589975;1.08468692038864
"2021-02-11";4;0.985142488099083;0.889992857725663;1.0802921184725
"2021-02-12";4;0.962355675388664;0.868085338433826;1.0566260123435
"2021-02-13";4;0.966635312268286;0.869887223021927;1.06338340151465
"2021-02-14";4;0.979270560782497;0.883551912651056;1.07498920891394
"2021-02-15";4;1.00785128319022;0.912083523809464;1.10361904257098
"2021-02-16";4;1.01167495319614;0.913557093326079;1.10979281306621
"2021-02-17";4;1.03470303467466;0.934279410202817;1.1351266591465
"2021-02-18";4;1.07104599552285;0.971105582914584;1.17098640813112
"2021-02-19";4;1.08677877801299;0.982309993894272;1.1912475621317
"2021-02-20";4;1.10434174757016;0.995554630002735;1.21312886513759
"2021-02-21";4;1.09744191340757;0.987823348169479;1.20706047864567
"2021-02-22";4;1.12176986671417;1.01025046284161;1.23328927058672
"2021-02-23";4;1.11314075102424;1.00191883462489;1.22436266742359
"2021-02-24";4;1.0980001572903;0.989695630984644;1.20630468359597
"2021-02-25";4;1.09237755635647;0.986116496033092;1.19863861667984
"2021-02-26";4;1.09592330519279;0.995619717227058;1.19622689315852
"2021-02-27";4;1.09351640411525;0.989938383157751;1.19709442507276
"2021-02-28";4;1.08791385475655;0.98603571613852;1.18979199337458
"2021-03-01";4;1.08578448237678;0.980051037292522;1.19151792746104
"2021-03-02";4;1.08659179692401;0.981007347261081;1.19217624658693
"2021-03-03";4;1.09157913928414;0.992594998649781;1.1905632799185
