"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-05-08";1.475920884171;1.17502055797057;1.77682121037143;1.279172757935;1.67266901040701
"2020-05-09";1.42316074857864;1.16281770015808;1.68350379699921;1.2529316013106;1.59338989584669
"2020-05-10";1.39346494936725;1.16537079070009;1.6215591080344;1.24432221727378;1.54260768146071
"2020-05-11";1.36134161847351;1.15737469923169;1.56530853771534;1.22797485536158;1.49470838158545
"2020-05-12";1.32333786218633;1.1412359041495;1.50543982022316;1.20426783002967;1.442407894343
"2020-05-13";1.27331873612101;1.11424251342934;1.43239495881267;1.1693044165897;1.37733305565231
"2020-05-14";1.2278466172972;1.09287667774619;1.36281655684822;1.13959456703626;1.31609866755815
"2020-05-15";1.21438360847118;1.09951462048854;1.32925259645383;1.13927487522233;1.28949234172003
"2020-05-16";1.18704782927493;1.08578659938087;1.28830905916898;1.12083674202425;1.2532589165256
"2020-05-17";1.1505919780179;1.06306884886218;1.23811510717361;1.09336379513608;1.20782016089971
"2020-05-18";1.13779387836582;1.06351460406759;1.21207315266406;1.08922545944566;1.18636229728599
"2020-05-19";1.11423080516067;1.04964050142213;1.17882110889921;1.07199766551052;1.15646394481082
"2020-05-20";1.14094871309811;1.08282253020075;1.19907489599546;1.10294252308864;1.17895490310757
"2020-05-21";1.12501934704668;1.0668960111457;1.18314268294765;1.08701488939857;1.16302380469478
"2020-05-22";1.11307001408202;1.05835021305031;1.16778981511373;1.07729109886838;1.14884892929565
"2020-05-23";1.10655626590367;1.05618538823428;1.15692714357307;1.07362082468948;1.13949170711786
"2020-05-24";1.08517695497153;1.03847423249705;1.13187967744601;1.05464007408315;1.11571383585992
"2020-05-25";1.07943741523711;1.03828257042992;1.1205922600443;1.05252822801231;1.10634660246192
"2020-05-26";1.06013855469093;1.02246208040118;1.09781502898068;1.03550429362819;1.08477281575367
"2020-05-27";1.02357146040139;0.992312340672038;1.05483058013075;1.00313298960863;1.04400993119416
"2020-05-28";1.03265034747745;1.00694223853249;1.05835845642241;1.01584144457972;1.04945925037518
"2020-05-29";1.0130649086008;0.988929932269652;1.03719988493194;0.997286070950771;1.02884374625082
"2020-05-30";1.00208045628733;0.979820536629019;1.02434037594564;0.987527743780777;1.01663316879389
"2020-05-31";0.997630407435024;0.975433230358622;1.01982758451143;0.983119379499754;1.01214143537029
"2020-06-01";1.01879718794006;0.995938363793322;1.04165601208679;1.00385473217258;1.03373964370754
"2020-06-02";1.01298529005467;0.993870697384531;1.0320998827248;1.00049162243774;1.02547895767159
"2020-06-03";0.999750761584131;0.982476446126614;1.01702507704165;0.988460211782325;1.01104131138594
"2020-06-04";0.993285568193368;0.976246417466308;1.01032471892043;0.982148312425844;1.00442282396089
"2020-06-05";0.994355183435907;0.975881888978741;1.01282847789307;0.982281808178784;1.00642855869303
"2020-06-06";0.98506056648069;0.966868197810852;1.00325293515053;0.97317125172748;0.996949881233899
"2020-06-07";0.978036027534524;0.959717923890541;0.996354131178508;0.966062458008518;0.990009597060531
"2020-06-08";0.935305591646226;0.915944237342485;0.954666945949966;0.922649921392881;0.94796126189957
"2020-06-09";0.933151789658334;0.905176868688084;0.961126710628584;0.91486082234309;0.951442756973578
"2020-06-10";0.942243899678668;0.910023836066312;0.974463963291024;0.921176833277514;0.963310966079822
"2020-06-11";0.928613596441139;0.897639125579513;0.959588067302765;0.908361110917043;0.948866081965235
"2020-06-12";0.925684298081344;0.89187804592395;0.959490550238737;0.903580336016172;0.947788260146515
"2020-06-13";0.931451343740108;0.896284720313835;0.966617967166381;0.908457712819838;0.954444974660378
"2020-06-14";0.934964414351955;0.900165396170624;0.969763432533287;0.912211824550811;0.957717004153099
"2020-06-15";0.934983468042627;0.902279436437414;0.967687499647841;0.913600411161536;0.956366524923719
"2020-06-16";0.942900912348257;0.911471049350185;0.97433077534633;0.922350604714109;0.963451219982406
"2020-06-17";0.932305656030222;0.902659031867458;0.961952280192986;0.91292229494449;0.951689017115954
"2020-06-18";0.944018975151226;0.912853840062598;0.975184110239855;0.923642566927195;0.964395383375258
"2020-06-19";0.935618418531108;0.907123060200327;0.964113776861889;0.916987643568731;0.954249193493485
"2020-06-20";0.935868541860372;0.906377708036624;0.96535937568412;0.91658697691037;0.955150106810374
"2020-06-21";0.93059865320189;0.901386531743734;0.959810774660045;0.911499007587525;0.949698298816254
"2020-06-22";0.903891532341671;0.875197906758319;0.932585157925022;0.88513015615301;0.922652908530331
"2020-06-23";0.897646718540683;0.862595799930963;0.932697637150403;0.874728439888071;0.920564997193295
"2020-06-24";0.895337324903903;0.85566191016903;0.935012739638776;0.869395504948439;0.921279144859367
"2020-06-25";0.884242643128619;0.843408326671261;0.925076959585977;0.857542748389733;0.910942537867505
"2020-06-26";0.876353505623634;0.831775011878093;0.920931999369175;0.847205682756761;0.905501328490507
"2020-06-27";0.856485557995675;0.810037829774177;0.902933286217173;0.826115342085848;0.886855773905502
"2020-06-28";0.856927300895454;0.80497933900533;0.908875262785578;0.822960498881505;0.890894102909404
"2020-06-29";0.839463959043007;0.786202865593167;0.892725052492847;0.804638637829946;0.874289280256068
"2020-06-30";0.848384873716431;0.789577854459928;0.907191892972934;0.809933282272195;0.886836465160666
"2020-07-01";0.878919254984883;0.81836935859464;0.939469151375125;0.839328101258929;0.918510408710837
"2020-07-02";0.872910814490137;0.820014199022071;0.925807429958202;0.838323989283868;0.907497639696405
"2020-07-03";0.867492998948992;0.816638335288785;0.918347662609199;0.834241415160606;0.900744582737378
"2020-07-04";0.874520628506664;0.823072642825889;0.925968614187439;0.840881123160987;0.908160133852342
"2020-07-05";0.88504158734122;0.835277166326419;0.93480600835602;0.852502661365371;0.917580513317068
"2020-07-06";0.914537826681339;0.865830838005139;0.96324481535754;0.882690564076762;0.946385089285917
"2020-07-07";0.901180381796624;0.859882345951197;0.94247841764205;0.874177816546168;0.928182947047079
"2020-07-08";0.867584512140659;0.827421043581944;0.907747980699374;0.84132463089427;0.893844393387048
"2020-07-09";0.875924224105279;0.829040392314173;0.922808055896385;0.845270103791057;0.906578344419501
"2020-07-10";0.890681354790869;0.843319126125338;0.938043583456399;0.859713516485067;0.92164919309667
"2020-07-11";0.893562102216726;0.848268520737157;0.938855683696295;0.863947175892993;0.923177028540459
"2020-07-12";0.894141838026856;0.850417141213957;0.937866534839756;0.865552729437343;0.922730946616369
"2020-07-13";0.887247603854956;0.843427673305295;0.931067534404617;0.85859728476206;0.915897922947852
"2020-07-14";0.89331794995394;0.849126827369407;0.937509072538474;0.864424085632995;0.922211814274885
"2020-07-15";0.903761469198292;0.859619601412216;0.947903336984368;0.874900092764964;0.93262284563162
"2020-07-16";0.895286102475808;0.852971070020591;0.937601134931025;0.867620183444446;0.92295202150717
"2020-07-17";0.895973666147418;0.85328647309877;0.938660859196066;0.868064068305037;0.923883263989799
"2020-07-18";0.905442936827641;0.862290523044003;0.948595350611278;0.877229068265362;0.93365680538992
"2020-07-19";0.903922469670274;0.862508712113901;0.945336227226646;0.876845628242692;0.930999311097856
"2020-07-20";0.924723619772424;0.883015252530957;0.966431987013891;0.897454047958544;0.951993191586303
"2020-07-21";0.929265078118415;0.890002790353274;0.968527365883556;0.903596800224294;0.954933356012536
"2020-07-22";0.927731740507313;0.891108945513102;0.964354535501524;0.903789267585383;0.951674213429243
"2020-07-23";0.961290868725483;0.923952686043534;0.998629051407432;0.936881649162173;0.985700088288793
"2020-07-24";0.952285245354028;0.917916697500123;0.986653793207934;0.929821923148874;0.974748567559182
"2020-07-25";0.958495733230361;0.927105779148479;0.989885687312243;0.937976877466736;0.979014588993986
"2020-07-26";0.955155016173407;0.925076840680527;0.985233191666287;0.935494670480067;0.974815361866747
"2020-07-27";0.940789270928757;0.911101885155037;0.970476656702477;0.921385763383422;0.960192778474092
"2020-07-28";0.939508357936901;0.909386490590566;0.969630225283235;0.919818956434285;0.959197759439516
"2020-07-29";0.940066650040818;0.908271815361127;0.97186148472051;0.919284393839613;0.960848906242024
"2020-07-30";0.936610372948695;0.905162821285158;0.968057924612231;0.916053522540925;0.957167223356464
"2020-07-31";0.947543396582311;0.914320446323938;0.980766346840683;0.92582647167595;0.969260321488672
"2020-08-01";0.96034085607599;0.927960698195174;0.992721013956806;0.939175389299752;0.981506322852228
"2020-08-02";0.978523026567839;0.94843778582105;1.00860826731463;0.958857739413891;0.998188313721787
"2020-08-03";0.983340316688607;0.955011194278578;1.01166943909864;0.964825109216669;1.00185552416054
"2020-08-04";0.991397008243638;0.964417235299338;1.01837678118794;0.97376364136923;1.00903037511805
"2020-08-05";0.999411992903052;0.970816391943127;1.02800759386298;0.980726669906606;1.0180973158995
"2020-08-06";0.993281214017744;0.964539899176839;1.02202252885865;0.974501126231922;1.01206130180357
"2020-08-07";0.982051100861346;0.954543590376998;1.00955861134569;0.964077320435216;1.00002488128748
"2020-08-08";0.961276617053886;0.933727658503412;0.98882557560436;0.943278789760598;0.979274444347174
"2020-08-09";0.950550922659511;0.923491086246263;0.977610759072759;0.932868823662191;0.968233021656831
"2020-08-10";0.951982460523383;0.921604516787739;0.982360404259026;0.932130715829378;0.971834205217388
"2020-08-11";0.951911897390085;0.920434841034549;0.983388953745621;0.931340275152055;0.972483519628116
"2020-08-12";0.951390702857372;0.917856109112584;0.984925296602161;0.929476257611706;0.973305148103038
"2020-08-13";0.945750074092359;0.913664370728293;0.977835777456425;0.924779099217618;0.9667210489671
"2020-08-14";0.947869878909159;0.915772924471925;0.979966833346393;0.926889014487695;0.968850743330623
"2020-08-15";0.949056511094052;0.917747400434028;0.980365621754076;0.928589234852995;0.969523787335108
"2020-08-16";0.951443758388312;0.920551001421653;0.982336515354971;0.931248339269056;0.971639177507568
"2020-08-17";0.951550087159143;0.920204386578163;0.982895787740122;0.931060195155679;0.972039979162606
"2020-08-18";0.970914948086637;0.938507433533223;1.00332246264005;0.949732328363723;0.992097567809551
"2020-08-19";0.980536948940169;0.94983223243444;1.0112416654459;0.960470286067701;1.00060361181264
"2020-08-20";1.00662299886321;0.97727981451978;1.03596618320664;0.987447238570506;1.02579875915592
"2020-08-21";1.01079579795218;0.981285025508673;1.04030657039568;0.991512555797811;1.03007904010654
"2020-08-22";1.01162638684568;0.980408204647119;1.04284456904424;0.991228936091185;1.03202383760017
"2020-08-23";1.01859107830743;0.989285742085933;1.04789641452893;0.999439442735759;1.0377427138791
"2020-08-24";1.02759509429011;0.995698546985598;1.05949164159462;1.0067530864313;1.04843710214892
"2020-08-25";1.0172982915865;0.98610324124092;1.04849334193207;0.996910620841288;1.03768596233171
"2020-08-26";1.02679563844128;0.995722135661872;1.05786914122069;1.00649034919052;1.04710092769204
"2020-08-27";1.01419761716334;0.984096740704091;1.04429849362259;0.994525297610593;1.03386993671609
"2020-08-28";1.02481213293048;0.996418311376612;1.05320595448436;1.00625648272549;1.04336778313548
"2020-08-29";1.02976837819347;1.00075837335461;1.05877838303232;1.01080973727175;1.04872701911518
"2020-08-30";1.02386088856771;0.995484118627132;1.05223765850829;1.00531326736786;1.04240850976756
"2020-08-31";1.01957722053721;0.990666345441845;1.04848809563258;1.00068327566798;1.03847116540645
"2020-09-01";1.02558100893025;0.995918411052328;1.05524360680818;1.00619922466387;1.04496279319664
"2020-09-02";1.0208032888203;0.992381505320894;1.04922507231971;1.0022292896371;1.0393772880035
"2020-09-03";1.0239702127686;0.996778960732983;1.05116146480422;1.00619953376984;1.04174089176736
"2020-09-04";1.03063673181407;1.00455754127503;1.05671592235311;1.01359072280313;1.04768274082501
"2020-09-05";1.02150280741456;0.993156023714127;1.04984959111499;1.00297702919041;1.0400285856387
"2020-09-06";1.01280910927031;0.986213788803669;1.03940442973695;0.995427224749282;1.03019099379133
"2020-09-07";1.002789937003;0.97774169863213;1.02783817537387;0.98641954690678;1.01916032709922
"2020-09-08";0.990281217305929;0.964027614213576;1.01653482039828;0.973127860521523;1.00743457409034
"2020-09-09";0.981610629817871;0.954767870754043;1.0084533888817;0.964073073085104;0.999148186550638
"2020-09-10";0.975353763974726;0.949557931732201;1.00114959621725;0.958495684238836;0.992211843710616
"2020-09-11";0.957224327127941;0.93127678599225;0.983171868263632;0.940264901861642;0.974183752394239
"2020-09-12";0.953980217250271;0.924399210460177;0.983561224040366;0.934644505582831;0.973315928917711
"2020-09-13";0.95540365163607;0.923875386274637;0.986931916997503;0.934793987649133;0.976013315623007
"2020-09-14";0.945713876730134;0.912550690444588;0.97887706301568;0.924037805164587;0.967389948295681
"2020-09-15";0.946490895452268;0.911365745111491;0.981616045793045;0.923531512078434;0.969450278826101
"2020-09-16";0.936187355455575;0.902101209672308;0.970273501238842;0.913905057749328;0.958469653161821
"2020-09-17";0.933622228416315;0.897509940572758;0.969734516259872;0.91001482142229;0.95722963541034
"2020-09-18";0.907012395159445;0.8712753699173;0.942749420401591;0.883648961131747;0.930375829187144
"2020-09-19";0.910030585580376;0.868699215931605;0.951361955229146;0.883007782135947;0.937053389024804
"2020-09-20";0.945353513567454;0.899407037551092;0.991299989583816;0.915314731651537;0.97539229548337
"2020-09-21";0.988882827783503;0.94882648705921;1.0289391685078;0.962695936108958;1.01506971945805
"2020-09-22";0.997863277038611;0.964432893246236;1.03129366083099;0.976014996196459;1.01971155788076
"2020-09-23";1.02625873229828;0.996542360818123;1.05597510377844;1.00683643470114;1.04568102989542
"2020-09-24";1.03514630226257;1.00456687133814;1.06572573318701;1.01515715460958;1.05513544991557
"2020-09-25";1.07651685398269;1.04187511570142;1.11115859226397;1.05387162585464;1.09916208211075
"2020-09-26";1.07679618496647;1.03373955595221;1.11985281398072;1.04864531607685;1.10494705385608
"2020-09-27";1.04118642673196;0.995051347825355;1.08732150563856;1.01102320826641;1.07134964519751
"2020-09-28";1.0173863811938;0.98056216270722;1.05421059968038;0.993310327210496;1.0414624351771
"2020-09-29";0.996429895248525;0.965237437209118;1.02762235328793;0.976041329597033;1.01681846090002
"2020-09-30";0.963195664101986;0.937733966527104;0.988657361676867;0.946554535023955;0.979836793180016
"2020-10-01";0.962979640714791;0.935965889035307;0.989993392394275;0.945323687649728;0.980635593779854
"2020-10-02";0.956068385707546;0.92684936331467;0.985287408100421;0.936969899298056;0.975166872117035
"2020-10-03";0.954160945490411;0.921860893693467;0.986460997287355;0.933048775214976;0.975273115765846
"2020-10-04";0.955035922429858;0.922005386971675;0.988066457888042;0.933444842935503;0.976627001924214
"2020-10-05";0.936320806605138;0.903604149328964;0.969037463881313;0.914934962298279;0.957706650911998
"2020-10-06";0.950401801365347;0.912387733845811;0.988415868884882;0.925553906265401;0.975249696465293
"2020-10-07";0.969749734836108;0.931395552523748;1.00810391714847;0.94468245213577;0.994817017536446
"2020-10-08";0.971828973404086;0.93434855793672;1.00930938887145;0.947341373518217;0.996316573289954
"2020-10-09";0.9637548816796;0.931685798356823;0.995823965002377;0.942798380652247;0.984711382706953
"2020-10-10";0.974810970054248;0.943000707882289;1.00662123222621;0.954022355278612;0.995599584829885
"2020-10-11";0.973549484882398;0.942498236264765;1.00460073350003;0.953259045903376;0.993839923861421
"2020-10-12";0.94760789177356;0.919010194891547;0.976205588655572;0.928918257848758;0.966297525698361
"2020-10-13";0.970669704815051;0.939035109096009;1.00230430053409;0.94999200364625;0.991347405983851
"2020-10-14";0.981239944193774;0.950070850865614;1.01240903752193;0.960869886349768;1.00161000203778
"2020-10-15";0.981300291331151;0.94870172215366;1.01389886050864;0.960003153592675;1.00259742906963
