"codigo_region","region_residencia","semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
"01","Región de Tarapacá",24,"40 - 49 años",278.009452321379,"> 250"
"01","Región de Tarapacá",24,"50 - 59 años",254.786905497221,"> 250"
"01","Región de Tarapacá",24,"60 - 69 años",257.087766907091,"> 250"
"01","Región de Tarapacá",24,"70 - 79 años",232.828870779977,"(150, 250]"
"01","Región de Tarapacá",24,"80 años o más",308.892862949114,"> 250"
"01","Región de Tarapacá",25,"00 - 09 años",50.5987518974532,"(35, 70]"
"01","Región de Tarapacá",25,"10 - 19 años",82.7069051076109,"(70, 150]"
"01","Región de Tarapacá",25,"20 - 29 años",251.004016064257,"> 250"
"01","Región de Tarapacá",25,"30 - 39 años",255.03149485328,"> 250"
"01","Región de Tarapacá",25,"40 - 49 años",232.336470868581,"(150, 250]"
"01","Región de Tarapacá",25,"50 - 59 años",257.360510603253,"> 250"
"01","Región de Tarapacá",25,"60 - 69 años",185.674498321788,"(150, 250]"
"01","Región de Tarapacá",25,"70 - 79 años",209.545983701979,"(150, 250]"
"01","Región de Tarapacá",25,"80 años o más",130.06015282068,"(70, 150]"
"01","Región de Tarapacá",26,"00 - 09 años",37.1057513914657,"(35, 70]"
"01","Región de Tarapacá",26,"10 - 19 años",73.517248984543,"(70, 150]"
"01","Región de Tarapacá",26,"20 - 29 años",186.038270729979,"(150, 250]"
"01","Región de Tarapacá",26,"30 - 39 años",213.550468581963,"(150, 250]"
"01","Región de Tarapacá",26,"40 - 49 años",270.066325112197,"> 250"
"01","Región de Tarapacá",26,"50 - 59 años",241.918879967058,"(150, 250]"
"01","Región de Tarapacá",26,"60 - 69 años",214.239805755909,"(150, 250]"
"01","Región de Tarapacá",26,"70 - 79 años",139.697322467986,"(70, 150]"
"01","Región de Tarapacá",26,"80 años o más",97.5451146155097,"(70, 150]"
"01","Región de Tarapacá",27,"00 - 09 años",57.345252150447,"(35, 70]"
"01","Región de Tarapacá",27,"10 - 19 años",58.8137991876344,"(35, 70]"
"01","Región de Tarapacá",27,"20 - 29 años",199.326718639263,"(150, 250]"
"01","Región de Tarapacá",27,"30 - 39 años",227.377477339069,"(150, 250]"
"01","Región de Tarapacá",27,"40 - 49 años",226.379125461694,"(150, 250]"
"01","Región de Tarapacá",27,"50 - 59 años",193.02038295244,"(150, 250]"
"01","Región de Tarapacá",27,"60 - 69 años",196.386488609584,"(150, 250]"
"01","Región de Tarapacá",27,"70 - 79 años",155.219247186651,"(150, 250]"
"01","Región de Tarapacá",27,"80 años o más",178.832710128434,"(150, 250]"
"01","Región de Tarapacá",28,"00 - 09 años",35.4191263282172,"(35, 70]"
"01","Región de Tarapacá",28,"10 - 19 años",77.1931114337702,"(70, 150]"
"01","Región de Tarapacá",28,"20 - 29 años",187.514764942121,"(150, 250]"
"01","Región de Tarapacá",28,"30 - 39 años",213.550468581963,"(150, 250]"
"01","Región de Tarapacá",28,"40 - 49 años",192.62083482267,"(150, 250]"
"01","Región de Tarapacá",28,"50 - 59 años",211.035618694668,"(150, 250]"
"01","Región de Tarapacá",28,"60 - 69 años",135.685210312076,"(70, 150]"
"01","Región de Tarapacá",28,"70 - 79 años",116.414435389988,"(70, 150]"
"01","Región de Tarapacá",28,"80 años o más",130.06015282068,"(70, 150]"
"01","Región de Tarapacá",29,"00 - 09 años",30.3592511384719,"(7, 35]"
"01","Región de Tarapacá",29,"10 - 19 años",66.1655240860887,"(35, 70]"
"01","Región de Tarapacá",29,"20 - 29 años",199.326718639263,"(150, 250]"
"01","Región de Tarapacá",29,"30 - 39 años",161.315102166231,"(150, 250]"
"01","Región de Tarapacá",29,"40 - 49 años",140.990507962985,"(70, 150]"
"01","Región de Tarapacá",29,"50 - 59 años",141.548280831789,"(70, 150]"
"01","Región de Tarapacá",29,"60 - 69 años",189.245161751053,"(150, 250]"
"01","Región de Tarapacá",29,"70 - 79 años",139.697322467986,"(70, 150]"
"01","Región de Tarapacá",29,"80 años o más",113.802633718095,"(70, 150]"
"01","Región de Tarapacá",30,"00 - 09 años",38.7923764547141,"(35, 70]"
"01","Región de Tarapacá",30,"10 - 19 años",56.9758679630208,"(35, 70]"
"01","Región de Tarapacá",30,"20 - 29 años",191.944247578549,"(150, 250]"
"01","Región de Tarapacá",30,"30 - 39 años",241.204486096175,"(150, 250]"
"01","Región de Tarapacá",30,"40 - 49 años",224.393343659399,"(150, 250]"
"01","Región de Tarapacá",30,"50 - 59 años",234.19806464896,"(150, 250]"
"01","Región de Tarapacá",30,"60 - 69 años",182.103834892523,"(150, 250]"
"01","Región de Tarapacá",30,"70 - 79 años",131.936360108653,"(70, 150]"
"01","Región de Tarapacá",30,"80 años o más",227.605267436189,"(150, 250]"
"01","Región de Tarapacá",31,"00 - 09 años",32.0458762017204,"(7, 35]"
"01","Región de Tarapacá",31,"10 - 19 años",62.4896616368615,"(35, 70]"
"01","Región de Tarapacá",31,"20 - 29 años",184.561776517836,"(150, 250]"
"01","Región de Tarapacá",31,"30 - 39 años",227.377477339069,"(150, 250]"
"01","Región de Tarapacá",31,"40 - 49 años",196.592398427261,"(150, 250]"
"01","Región de Tarapacá",31,"50 - 59 años",218.756434012765,"(150, 250]"
"01","Región de Tarapacá",31,"60 - 69 años",124.973220024281,"(70, 150]"
"01","Región de Tarapacá",31,"70 - 79 años",108.653473030656,"(70, 150]"
"01","Región de Tarapacá",31,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",32,"00 - 09 años",26.986001011975,"(7, 35]"
"01","Región de Tarapacá",32,"10 - 19 años",68.0034553107023,"(35, 70]"
"01","Región de Tarapacá",32,"20 - 29 años",199.326718639263,"(150, 250]"
"01","Región de Tarapacá",32,"30 - 39 años",216.623137194654,"(150, 250]"
"01","Región de Tarapacá",32,"40 - 49 años",176.734580404305,"(150, 250]"
"01","Región de Tarapacá",32,"50 - 59 años",180.152357422277,"(150, 250]"
"01","Región de Tarapacá",32,"60 - 69 años",142.826537170606,"(70, 150]"
"01","Región de Tarapacá",32,"70 - 79 años",100.892510671323,"(70, 150]"
"01","Región de Tarapacá",32,"80 años o más",146.317671923264,"(70, 150]"
"01","Región de Tarapacá",33,"00 - 09 años",18.5528756957328,"(7, 35]"
"01","Región de Tarapacá",33,"10 - 19 años",42.2724181661122,"(35, 70]"
"01","Región de Tarapacá",33,"20 - 29 años",181.608788093551,"(150, 250]"
"01","Región de Tarapacá",33,"30 - 39 años",185.896451067752,"(150, 250]"
"01","Región de Tarapacá",33,"40 - 49 años",164.819889590532,"(150, 250]"
"01","Región de Tarapacá",33,"50 - 59 años",177.578752316245,"(150, 250]"
"01","Región de Tarapacá",33,"60 - 69 años",114.261229736485,"(70, 150]"
"01","Región de Tarapacá",33,"70 - 79 años",69.848661233993,"(35, 70]"
"01","Región de Tarapacá",33,"80 años o más",113.802633718095,"(70, 150]"
"01","Región de Tarapacá",34,"00 - 09 años",20.2395007589813,"(7, 35]"
"01","Región de Tarapacá",34,"10 - 19 años",42.2724181661122,"(35, 70]"
"01","Región de Tarapacá",34,"20 - 29 años",115.16654854713,"(70, 150]"
"01","Región de Tarapacá",34,"30 - 39 años",155.169764940851,"(150, 250]"
"01","Región de Tarapacá",34,"40 - 49 años",142.976289765281,"(70, 150]"
"01","Región de Tarapacá",34,"50 - 59 años",118.385834877496,"(70, 150]"
"01","Región de Tarapacá",34,"60 - 69 años",185.674498321788,"(150, 250]"
"01","Región de Tarapacá",34,"70 - 79 años",108.653473030656,"(70, 150]"
"01","Región de Tarapacá",34,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",35,"00 - 09 años",15.179625569236,"(7, 35]"
"01","Región de Tarapacá",35,"10 - 19 años",53.3000055137937,"(35, 70]"
"01","Región de Tarapacá",35,"20 - 29 años",116.643042759272,"(70, 150]"
"01","Región de Tarapacá",35,"30 - 39 años",150.560762021816,"(150, 250]"
"01","Región de Tarapacá",35,"40 - 49 años",121.132689940029,"(70, 150]"
"01","Región de Tarapacá",35,"50 - 59 años",115.812229771464,"(70, 150]"
"01","Región de Tarapacá",35,"60 - 69 años",71.4132685853032,"(70, 150]"
"01","Región de Tarapacá",35,"70 - 79 años",38.8048117966628,"(35, 70]"
"01","Región de Tarapacá",35,"80 años o más",97.5451146155097,"(70, 150]"
"01","Región de Tarapacá",36,"00 - 09 años",20.2395007589813,"(7, 35]"
"01","Región de Tarapacá",36,"10 - 19 años",36.7586244922715,"(35, 70]"
"01","Región de Tarapacá",36,"20 - 29 años",75.3012048192771,"(70, 150]"
"01","Región de Tarapacá",36,"30 - 39 años",84.4983868489783,"(70, 150]"
"01","Región de Tarapacá",36,"40 - 49 años",85.3886174987092,"(70, 150]"
"01","Región de Tarapacá",36,"50 - 59 años",84.9289684990735,"(70, 150]"
"01","Región de Tarapacá",36,"60 - 69 años",82.1252588730986,"(70, 150]"
"01","Región de Tarapacá",36,"70 - 79 años",46.5657741559953,"(35, 70]"
"01","Región de Tarapacá",36,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",37,"00 - 09 años",10.1197503794906,"(7, 35]"
"01","Región de Tarapacá",37,"10 - 19 años",25.73103714459,"(7, 35]"
"01","Región de Tarapacá",37,"20 - 29 años",88.5896527285613,"(70, 150]"
"01","Región de Tarapacá",37,"30 - 39 años",122.906744507605,"(70, 150]"
"01","Región de Tarapacá",37,"40 - 49 años",101.274871917074,"(70, 150]"
"01","Región de Tarapacá",37,"50 - 59 años",90.0761787111386,"(70, 150]"
"01","Región de Tarapacá",37,"60 - 69 años",85.6959223023638,"(70, 150]"
"01","Región de Tarapacá",37,"70 - 79 años",62.0876988746605,"(35, 70]"
"01","Región de Tarapacá",38,"00 - 09 años",8.4331253162422,"(7, 35]"
"01","Región de Tarapacá",38,"10 - 19 años",45.9482806153394,"(35, 70]"
"01","Región de Tarapacá",38,"20 - 29 años",90.066146940704,"(70, 150]"
"01","Región de Tarapacá",38,"30 - 39 años",99.8617299124289,"(70, 150]"
"01","Región de Tarapacá",38,"40 - 49 años",61.5592358711625,"(35, 70]"
"01","Región de Tarapacá",38,"50 - 59 años",72.0609429689109,"(70, 150]"
"01","Región de Tarapacá",38,"60 - 69 años",39.2772977219167,"(35, 70]"
"01","Región de Tarapacá",38,"70 - 79 años",46.5657741559953,"(35, 70]"
"01","Región de Tarapacá",38,"80 años o más",16.2575191025849,"(7, 35]"
"01","Región de Tarapacá",39,"00 - 09 años",20.2395007589813,"(7, 35]"
"01","Región de Tarapacá",39,"10 - 19 años",36.7586244922715,"(35, 70]"
"01","Región de Tarapacá",39,"20 - 29 años",119.596031183558,"(70, 150]"
"01","Región de Tarapacá",39,"30 - 39 años",101.398064218774,"(70, 150]"
"01","Región de Tarapacá",39,"40 - 49 años",85.3886174987092,"(70, 150]"
"01","Región de Tarapacá",39,"50 - 59 años",51.4721021206506,"(35, 70]"
"01","Región de Tarapacá",39,"60 - 69 años",46.418624580447,"(35, 70]"
"01","Región de Tarapacá",39,"70 - 79 años",85.3705859526581,"(70, 150]"
"01","Región de Tarapacá",39,"80 años o más",195.090229231019,"(150, 250]"
"01","Región de Tarapacá",40,"00 - 09 años",23.6127508854782,"(7, 35]"
"01","Región de Tarapacá",40,"10 - 19 años",36.7586244922715,"(35, 70]"
"01","Región de Tarapacá",40,"20 - 29 años",143.219938577841,"(70, 150]"
"01","Región de Tarapacá",40,"30 - 39 años",132.124750345675,"(70, 150]"
"01","Región de Tarapacá",40,"40 - 49 años",97.3033083124826,"(70, 150]"
"01","Región de Tarapacá",40,"50 - 59 años",74.6345480749434,"(70, 150]"
"01","Región de Tarapacá",40,"60 - 69 años",53.5599514389774,"(35, 70]"
"01","Región de Tarapacá",40,"70 - 79 años",31.0438494373302,"(7, 35]"
"01","Región de Tarapacá",40,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",41,"00 - 09 años",30.3592511384719,"(7, 35]"
"01","Región de Tarapacá",41,"10 - 19 años",68.0034553107023,"(35, 70]"
"01","Región de Tarapacá",41,"20 - 29 años",125.502008032129,"(70, 150]"
"01","Región de Tarapacá",41,"30 - 39 años",109.079735750499,"(70, 150]"
"01","Región de Tarapacá",41,"40 - 49 años",63.545017673458,"(35, 70]"
"01","Región de Tarapacá",41,"50 - 59 años",64.3401276508133,"(35, 70]"
"01","Región de Tarapacá",41,"60 - 69 años",49.9892880097122,"(35, 70]"
"01","Región de Tarapacá",41,"70 - 79 años",38.8048117966628,"(35, 70]"
"01","Región de Tarapacá",41,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",42,"00 - 09 años",18.5528756957328,"(7, 35]"
"01","Región de Tarapacá",42,"10 - 19 años",38.5965557168851,"(35, 70]"
"01","Región de Tarapacá",42,"20 - 29 años",70.871722182849,"(70, 150]"
"01","Región de Tarapacá",42,"30 - 39 años",79.8893839299432,"(70, 150]"
"01","Región de Tarapacá",42,"40 - 49 años",49.6445450573891,"(35, 70]"
"01","Región de Tarapacá",42,"50 - 59 años",69.4873378628783,"(35, 70]"
"01","Región de Tarapacá",42,"60 - 69 años",49.9892880097122,"(35, 70]"
"01","Región de Tarapacá",42,"70 - 79 años",23.2828870779977,"(7, 35]"
"01","Región de Tarapacá",42,"80 años o más",97.5451146155097,"(70, 150]"
"01","Región de Tarapacá",43,"00 - 09 años",23.6127508854782,"(7, 35]"
"01","Región de Tarapacá",43,"10 - 19 años",49.6241430645665,"(35, 70]"
"01","Región de Tarapacá",43,"20 - 29 años",113.690054334987,"(70, 150]"
"01","Región de Tarapacá",43,"30 - 39 años",98.3253956060839,"(70, 150]"
