"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-06-02";1.01281819156402;0.994217500792209;1.03141888233584
"2020-06-03";1.00021949503809;0.982975453926568;1.01746353614961
"2020-06-04";0.993034940189015;0.975143379053629;1.0109265013244
"2020-06-05";0.994672895784505;0.976452924655614;1.0128928669134
"2020-06-06";0.986179101675553;0.96859240170421;1.0037658016469
"2020-06-07";0.978170163217293;0.95985922531335;0.996481101121235
"2020-06-08";0.935030443901241;0.915603759712109;0.954457128090374
"2020-06-09";0.932044131683174;0.903122592123418;0.960965671242929
"2020-06-10";0.941480239609234;0.908267547879436;0.974692931339033
"2020-06-11";0.928887522856353;0.896823048841573;0.960951996871133
"2020-06-12";0.925396706210491;0.891043247845827;0.959750164575155
"2020-06-13";0.93103422404533;0.895529708583437;0.966538739507222
"2020-06-14";0.935469880060869;0.900909467089085;0.970030293032653
