"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2021-02-23";9;91012;1.06790828321827;0.933366111474053;1.20245045496249
"2021-02-24";9;91012;1.08502464504695;0.956419844013093;1.21362944608081
"2021-02-25";9;91012;1.09156643895284;0.961882382365734;1.22125049553994
"2021-02-26";9;91012;1.0813313711709;0.954024406311736;1.20863833603006
"2021-02-27";9;91012;1.048362486373;0.925272097220732;1.17145287552526
"2021-02-28";9;91012;1.02385744009768;0.90467664659137;1.14303823360399
"2021-03-01";9;91012;1.0320616260239;0.91390623617971;1.15021701586809
"2021-03-02";9;91012;1.04013790269231;0.920653496598612;1.159622308786
"2021-03-03";9;91012;1.03286012436467;0.915839772002568;1.14988047672677
"2021-03-04";9;91012;1.030981422323;0.910460541703022;1.15150230294299
"2021-03-05";9;91012;1.04764501140388;0.923473112076842;1.17181691073091
"2021-03-06";9;91012;1.06723468078344;0.941949207025563;1.19252015454131
"2021-03-07";9;91012;1.06229635547508;0.939734240252855;1.1848584706973
"2021-03-08";9;91012;1.06526903820271;0.943503582129953;1.18703449427547
"2021-03-09";9;91012;1.07011726245326;0.944361672636456;1.19587285227006
"2021-03-10";9;91012;1.06073883204929;0.938738970100078;1.1827386939985
"2021-03-11";9;91012;1.04308050110689;0.922835348690635;1.16332565352315
"2021-03-12";9;91012;1.0270049938888;0.906071219301091;1.14793876847651
"2021-03-13";9;91012;0.994007271763414;0.87276876461876;1.11524577890807
"2021-03-14";9;91012;0.996534132855802;0.877866813084252;1.11520145262735
"2021-03-15";9;91012;0.982315426385326;0.863273056481109;1.10135779628954
"2021-03-16";9;91012;0.983673504509026;0.867798098502164;1.09954891051589
"2021-03-17";9;91012;0.995063155236164;0.877894493850124;1.1122318166222
"2021-03-18";9;91012;0.992926038448584;0.88053599220225;1.10531608469492
"2021-03-19";9;91012;0.983462004661784;0.867363107226165;1.0995609020974
"2021-03-20";9;91012;1.00810258581425;0.885757627603194;1.13044754402531
"2021-03-21";9;91012;1.02759251378916;0.910011648527132;1.1451733790512
"2021-03-22";9;91012;1.03781473344407;0.914022685360311;1.16160678152783
"2021-03-23";9;91012;1.03424348111031;0.912109941886053;1.15637702033456
"2021-03-24";9;91012;1.01836080575953;0.901417220867022;1.13530439065204
"2021-03-25";9;91012;1.05295648690202;0.934952646028323;1.17096032777571
"2021-03-26";9;91012;1.06924130125219;0.948142426692086;1.1903401758123
"2021-03-27";9;91012;1.04416281850589;0.924572245014617;1.16375339199716
"2021-03-28";9;91012;1.01473185968245;0.901444926998689;1.12801879236622
"2021-03-29";9;91012;0.984085128699824;0.872595686531267;1.09557457086838
"2021-03-30";9;91012;0.954252704193094;0.842722016745455;1.06578339164073
"2021-03-31";9;91012;0.941838102208524;0.830299790282716;1.05337641413433
"2021-04-01";9;91012;0.92725283302052;0.815348460406426;1.03915720563462
"2021-04-02";9;91012;0.921009719475644;0.806007260127167;1.03601217882412
"2021-04-03";9;91012;0.95279572455813;0.838651040839393;1.06694040827687
"2021-04-04";9;91012;0.979581166704721;0.864620345459934;1.09454198794951
"2021-04-05";9;91012;1.02498074214415;0.906549028767926;1.14341245552037
"2021-04-06";9;91012;1.05961763631689;0.932497370429302;1.18673790220447
"2021-04-07";9;91012;1.07794878020376;0.948444027840933;1.20745353256659
"2021-04-08";9;91012;1.07326668295257;0.943069685874312;1.20346368003082
"2021-04-09";9;91012;1.07736669044046;0.953534507692011;1.20119887318892
"2021-04-10";9;91012;1.07961562835499;0.958406454754515;1.20082480195546
"2021-04-11";9;91012;1.06713787284499;0.950342796371242;1.18393294931874
"2021-04-12";9;91012;1.07929143215199;0.957747091865166;1.20083577243882
