"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2021-07-14";8;83;5.6677665999778;3.30688611792828;9.21794505372509
"2021-07-15";8;83;5.07607019101991;2.8344738153671;7.56450199476095
"2021-07-16";8;83;4.89064836226465;2.8344738153671;7.32239068969834
"2021-07-17";8;83;4.29068473801195;1.88964921024473;6.84997838713716
"2021-07-18";8;83;4.1536851702692;1.88964921024473;6.61377223585657
"2021-07-19";8;83;6.47322957584461;3.77339326670745;9.21203989994307
"2021-07-20";8;83;5.80712822923335;3.53718711542686;8.50932659988332
"2021-07-21";8;83;6.08703251850085;3.30688611792828;8.50932659988332
"2021-07-22";8;83;5.05599266816106;2.59826766408651;7.56450199476095
"2021-07-23";8;83;4.67333870308651;2.59236251030449;7.09208969219977
"2021-07-24";8;83;4.12888352438474;2.36206151280592;6.38937639214001
"2021-07-25";8;83;3.65056606804154;1.88374405646272;5.90515378201479
"2021-07-26";8;83;5.13748379035287;3.07067996664769;7.80070814604154
"2021-07-27";8;83;4.46075316693397;1.88964921024473;6.85588354091917
"2021-07-28";8;83;4.08872847866704;2.36206151280592;6.38347123835799
"2021-07-29";8;83;3.97534952605236;1.88964921024473;6.14135993329538
"2021-07-30";8;83;4.02259075630848;2.12585536152532;6.37756608457597
"2021-07-31";8;83;3.36003250196642;1.41723690768355;5.43274147945361
"2021-08-01";8;83;3.09784367404496;1.41723690768355;5.19653532817302
"2021-08-02";8;83;3.88795325007854;1.88964921024473;5.91105893579681
"2021-08-03";8;83;3.47813557760671;1.88964921024473;5.6689476307342
"2021-08-04";8;83;3.26673107221058;1.41723690768355;5.43274147945361
"2021-08-05";8;83;3.26318797994137;1.64753790518213;5.19653532817302
"2021-08-06";8;83;3.115559135391;1.18103075640296;5.43274147945361
"2021-08-07";8;83;2.81793938477746;1.18103075640296;4.73002817939385
"2021-08-08";8;83;2.73054310880364;1.41723690768355;4.72412302561183
"2021-08-09";8;83;4.43949461331872;2.59236251030449;6.61967738963858
"2021-08-10";8;83;3.9930649873984;2.11995020774331;6.37756608457597
"2021-08-11";8;83;3.93991860336027;2.11995020774331;5.91105893579681
"2021-08-12";8;83;3.78992769729709;1.88964921024473;5.91696408957882
"2021-08-13";8;83;4.00605632571883;2.12585536152532;6.14135993329538
"2021-08-14";8;83;3.28917065658224;1.88964921024473;5.43864663323562
"2021-08-15";8;83;2.85337030746955;1.41723690768355;4.48791687433124
"2021-08-16";8;83;4.0721940480774;2.12585536152532;6.6255825434206
"2021-08-17";8;83;3.63048854518269;1.88374405646272;5.90515378201479
"2021-08-18";8;83;3.03879213622481;1.41133175390154;4.96032917689242
"2021-08-19";8;83;2.73526723182925;1.18103075640296;4.49382202811326
"2021-08-20";8;83;2.45654397331815;1.17512560262094;4.01550457177006
"2021-08-21";8;83;2.15183803816619;0.938919451340352;3.54899742299089
"2021-08-22";8;83;2.12113123849971;0.708618453841775;3.54309226920887
"2021-08-23";8;83;2.80376701570062;1.41133175390154;4.72412302561183
"2021-08-24";8;83;2.24159637565281;0.708618453841775;4.01550457177006
"2021-08-25";8;83;2.05499351614115;0.938919451340352;3.77929842048947
"2021-08-26";8;83;1.77745128838645;0.708618453841775;3.30688611792828
"2021-08-27";8;83;1.65108099745134;0.472412302561183;3.07658512042971
