"fecha";"region";"provincia";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-06-07;"04";"041";0.207240121109923;0.160702275558334;0.25744636148917
2020-06-14;"04";"041";0.32339652388469;0.27082855950361;0.377619905267006
2020-06-21;"04";"041";0.412350069866348;0.362209983550662;0.46301936670714
2020-06-28;"04";"041";0.405858713876129;0.359925069014367;0.45306342404463
2020-07-05;"04";"041";0.381355552773329;0.33643378291534;0.427626060251383
2020-07-12;"04";"041";0.29537686083785;0.259059295413967;0.333134309731915
2020-07-19;"04";"041";0.317427353334878;0.283492801426691;0.352761266410379
2020-07-26;"04";"041";0.411278645987938;0.375614557445627;0.447341048798809
2020-08-02;"04";"041";0.441242040045268;0.40361186614535;0.479333291476306
2020-08-09;"04";"041";0.398450455010248;0.35952585253132;0.438511130462374
2020-08-16;"04";"041";0.435244974955981;0.384952196191206;0.482003010989397
2020-08-23;"04";"041";0.550531811488106;0.469995460957185;0.607691376411503
2020-08-30;"04";"041";0.414441817715836;0.305264840511069;0.507219823181274
2020-09-06;"04";"041";0.319464772452933;0.192116672810213;0.460506264582129
2020-03-08;"04";"042";0.139186859227606;0.0437337999342026;0.272618063161091
2020-03-15;"04";"042";0.139186859227606;0.0437337999342026;0.272618063161091
2020-03-22;"04";"042";0.122307992284419;0.00250923512489533;0.371995830567714
2020-03-29;"04";"042";0.208361983430004;0.0383536397134441;0.442239185094801
2020-04-05;"04";"042";0.152314797257082;0.0157218840704926;0.388097620431079
2020-04-12;"04";"042";0.300790741266356;0.110900781442462;0.536980054569652
2020-04-19;"04";"042";0.260576940960256;0.0369230012313386;0.572633256781302
2020-04-26;"04";"042";0.193018098892606;0.0112896688071416;0.516576838625653
2020-05-03;"04";"042";0.22801231488781;0.0342703334806619;0.511082118827233
2020-05-10;"04";"042";0.102559833979716;0.00133121636088448;0.337718111316807
2020-05-17;"04";"042";0.163685894998295;0.00812172533495012;0.401569417678088
2020-05-24;"04";"042";0.0595675962534371;0.000502615252632582;0.210790913716253
2020-05-31;"04";"042";0.227630185841577;0.11940385975213;0.353671248940641
2020-06-07;"04";"042";0.21839455506489;0.113423345289887;0.344196831373402
2020-06-14;"04";"042";0.402807363839502;0.258881331450736;0.554547877740966
2020-06-21;"04";"042";0.352435551686722;0.221843116775169;0.494043947165006
2020-06-28;"04";"042";0.416122871980425;0.316261549773364;0.519562179635139
2020-07-05;"04";"042";0.323528440418944;0.226003086507583;0.430161754357937
2020-07-12;"04";"042";0.394985567939889;0.302539759299074;0.491686673312086
2020-07-19;"04";"042";0.133770514250275;0.0586497064669144;0.229728806399729
2020-07-26;"04";"042";0.323936231150114;0.235677176476075;0.418950982160799
2020-08-02;"04";"042";0.29897334966764;0.215521161091745;0.391006401159118
2020-08-09;"04";"042";0.181171702285624;0.100305630973363;0.279419193858257
2020-08-16;"04";"042";0.525025045518303;0.41949544915251;0.627640781741403
2020-08-23;"04";"042";0.377407162988978;0.244920515899083;0.508427604996704
2020-08-30;"04";"042";0.453905739904068;0.284297865751524;0.619813680572783
2020-09-06;"04";"042";0.512754483316714;0.255053428243438;0.771448631141188
2020-03-08;"04";"043";0.136914444874922;0.043974509021072;0.267073516766082
2020-03-15;"04";"043";0.136914444874922;0.043974509021072;0.267073516766082
2020-03-22;"04";"043";0.0882947808916161;0.00167820757566341;0.30359460923262
2020-03-29;"04";"043";0.308104234826308;0.0774823603767281;0.593447169701134
2020-04-05;"04";"043";0.0880320989238836;0.000790412287970812;0.3112730898184
2020-04-12;"04";"043";0.305261730989557;0.0246485041863414;0.670416363946678
2020-04-19;"04";"043";0.140484594806149;0.0132266637046774;0.345679653273916
2020-04-26;"04";"043";0.297354956840439;0.0325536020265843;0.611537224415531
2020-05-03;"04";"043";0.139980471464342;0.0363435115711018;0.283432300878725
2020-05-10;"04";"043";0.28033296204203;0.169037202331147;0.40477797322616
2020-05-17;"04";"043";0.13202844703942;0.0562390681486072;0.230896196804476
2020-05-24;"04";"043";0.0604441227006945;0.0210092832069502;0.116325535224917
2020-05-31;"04";"043";0.193136239456259;0.13711748330473;0.256065119063559
2020-06-07;"04";"043";0.157768471473713;0.109830257043141;0.211206677442525
2020-06-14;"04";"043";0.3555678913668;0.292606457276092;0.420822686172758
2020-06-21;"04";"043";0.42917860301043;0.351001797709309;0.509748665228103
2020-06-28;"04";"043";0.419911273748025;0.338596373491272;0.502395007862836
2020-07-05;"04";"043";0.416268193438412;0.32510692167001;0.511280292285422
2020-07-12;"04";"043";0.387988475176544;0.294202700558466;0.48450609662208
2020-07-19;"04";"043";0.378578034241226;0.288065112535724;0.473040058360941
2020-07-26;"04";"043";0.403498087804708;0.314545728262626;0.497640963257871
2020-08-02;"04";"043";0.299208031938567;0.224204972633731;0.37955049219446
2020-08-09;"04";"043";0.193418597324255;0.141074306739494;0.250741997395703
2020-08-16;"04";"043";0.310273910080549;0.249455482955032;0.370470134060049
2020-08-23;"04";"043";0.379304939711875;0.290723863623916;0.456416680436284
