"fecha";"region";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2021-12-13";13;0.849950625596489;0.769241477008176;0.930659774184802;0.797185417884936;0.902715833308042
"2021-12-14";13;0.839886903674913;0.765346417982201;0.914427389367626;0.791152886114992;0.888620921234835
"2021-12-15";13;0.867491725608192;0.789357414875484;0.945626036340899;0.816410502233201;0.918572948983182
"2021-12-16";13;0.873567859931311;0.796664599026683;0.95047112083594;0.823295837265373;0.92383988259725
"2021-12-17";13;0.869986983740603;0.794707622112142;0.945266345369064;0.820779098350159;0.919194869131047
"2021-12-18";13;0.883321903737513;0.809108752733193;0.957535054741833;0.834809381775063;0.931834425699963
"2021-12-19";13;0.908218452321935;0.832503702955715;0.983933201688156;0.858728156350266;0.957708748293605
"2021-12-20";13;0.935817094468749;0.862133772509821;1.00950041642768;0.887655396560318;0.983978792377179
"2021-12-21";13;0.982518063464139;0.911151259667639;1.05388486726064;0.935869625781658;1.02916650114662
"2021-12-22";13;0.995896397985559;0.923413187827941;1.06837960814318;0.94852291642318;1.04326987954794
"2021-12-23";13;1.04319468300321;0.970892250150417;1.115497115856;0.995935833111872;1.09045353289454
"2021-12-24";13;1.08959935089768;1.01173633813345;1.16746236366192;1.03870220764744;1.14049649414793
"2021-12-25";13;1.11304662652346;1.02489072817903;1.20120252486789;1.05541775746558;1.17067549558133
"2021-12-26";13;1.14534482997512;1.04915785546397;1.24153180448628;1.08246200996712;1.20822764998312
"2021-12-27";13;1.22686312219031;1.117336576851;1.33638966752961;1.15525566308785;1.29847058129276
"2021-12-28";13;1.27412689378431;1.13805787585793;1.41019591171069;1.18516172017835;1.36309206739027
"2021-12-29";13;1.27896940740028;1.12392544001977;1.43401337478078;1.17759469980388;1.38034411499668
"2021-12-30";13;1.28411939047735;1.12205705932206;1.44618172163264;1.17815482473454;1.39008395622016
"2021-12-31";13;1.29929155699128;1.1344265680646;1.46415654591796;1.19149381627161;1.40708929771095
"2022-01-01";13;1.35938042913756;1.18562633851294;1.53313451976219;1.24576974367662;1.47299111459851
"2022-01-02";13;1.47908491014686;1.27370885548122;1.6844609648125;1.34479733457982;1.61337248571391
"2022-01-03";13;1.66005151255758;1.38265533044291;1.93744769467225;1.47867249944579;1.84143052566937
"2022-01-04";13;1.73920546470018;1.37190352078726;2.10650740861309;1.49903974448375;1.9793711849166
"2022-01-05";13;1.77997804303214;1.34670592833077;2.21325015773351;1.49667674685572;2.06327933920856
"2022-01-06";13;1.7531316065012;1.29262791903214;2.21363529397027;1.45202452904857;2.05423868395384
"2022-01-07";13;1.74773444876903;1.28551148061917;2.20995741691889;1.44550319287874;2.04996570465933
"2022-01-08";13;1.70352379778001;1.25658669999244;2.15046089556758;1.41128741121766;1.99576018434236
"2022-01-09";13;1.65053753229008;1.23378369503266;2.06729136954751;1.37803692159805;1.92303814298211
"2022-01-10";13;1.73894678674218;1.32476928715311;2.15312428633124;1.46813083020173;2.00976274328262
"2022-01-11";13;1.75621061104569;1.3240241607523;2.18839706133908;1.47361912701154;2.03880209507984
"2022-01-12";13;1.75647264884282;1.3130792129799;2.19986608470574;1.46655329151244;2.04639200617321
"2022-01-13";13;1.73638843576703;1.29385829970777;2.17891857182629;1.44703354848438;2.02574332304969
"2022-01-14";13;1.69568042265738;1.2678070735982;2.12355377171655;1.41590909356817;1.97545175174659
"2022-01-15";13;1.63629170025922;1.23745554221112;2.03512785830733;1.37550676449757;1.89707663602088
