"fecha";"region";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-08-16;"03";0.338355625074899;0.302601819537186;0.375364548256218
2020-08-23;"03";0.336281403172089;0.252205750312667;0.398054588232325
2020-08-30;"03";0.355574287632918;0.286708517602994;0.41867430301627
2020-09-06;"03";0.211029226882524;0.142487477839973;0.279222362889239
2020-09-13;"03";0.19296683857808;0.0918397529194944;0.344294558527919
2020-03-08;"04";0.0748013134449614;0.0176437633911221;0.165524105421174
2020-03-15;"04";0.0748013134449614;0.0176437633911221;0.165524105421174
2020-03-22;"04";0.0640516659885459;0.000859172834593956;0.204582807795841
2020-03-29;"04";0.0809021269859746;0.00848160007863026;0.206319009527191
2020-04-05;"04";0.0539896335941979;0.000222234267962537;0.197845389703151
2020-04-12;"04";0.150448833269171;0.0413317924738766;0.310644180693457
2020-04-19;"04";0.167791590936921;0.0470301516984167;0.325607206222593
2020-04-26;"04";0.111609563108248;0.0164343631315065;0.260132544787071
2020-05-03;"04";0.133283528183709;0.0665428015873341;0.219016705753369
2020-05-10;"04";0.0746845860256217;0.0398236755170406;0.118353935871985
2020-05-17;"04";0.0508074205838909;0.0222932653562025;0.0875806068560294
2020-05-24;"04";0.0481383685312564;0.0245575526953273;0.0789957056268167
2020-05-31;"04";0.0908420337305422;0.0656817670342667;0.118431623142625
2020-06-07;"04";0.0928553653320639;0.0683659927285441;0.12001714566877
2020-06-14;"04";0.206212973265031;0.172602544315595;0.241532381835762
2020-06-21;"04";0.258576383071003;0.221601855492799;0.295757560720595
2020-06-28;"04";0.293942589287155;0.258056876894093;0.330825471848577
2020-07-05;"04";0.220207453705076;0.18815014772969;0.25433798036488
2020-07-12;"04";0.23448807653409;0.205245714263337;0.265174090677823
2020-07-19;"04";0.154730387939259;0.130853968453068;0.180042824227457
2020-07-26;"04";0.229860874548801;0.203371894816386;0.258857988729081
2020-08-02;"04";0.255667278581317;0.227444877756142;0.284608062216397
2020-08-09;"04";0.201217926942261;0.175701641955921;0.229084274564761
2020-08-16;"04";0.238163701979605;0.209589240866402;0.268409433560649
2020-08-23;"04";0.284843844236034;0.240754935157948;0.320809873653369
2020-08-30;"04";0.304205966052283;0.251869830355908;0.34758272819859
2020-09-06;"04";0.245467722781194;0.178284130867664;0.307794005172593
2020-09-13;"04";0.213447278943764;0.11648083936623;0.342862806875528
2020-03-08;"05";0.0582155976389932;0.0135597378381641;0.127999206056809
2020-03-15;"05";0.0582155976389932;0.0135597378381641;0.127999206056809
2020-03-22;"05";0.0480341142806286;0.0119496778087427;0.103475646358795
2020-03-29;"05";0.0386882352521121;0.0117861183377582;0.0801456476915195
2020-04-05;"05";0.191411408265336;0.124896428191154;0.264945334689881
2020-04-12;"05";0.0461103278086;0.0138197835628267;0.0956147772745215
2020-04-19;"05";0.157224746713705;0.0981786537174419;0.225975012445755
2020-04-26;"05";0.165638989612902;0.114899847285642;0.223903129852555
2020-05-03;"05";0.106411412195884;0.0780766949328994;0.138513713336135
