"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-09-28";5;53;1.36831718778139;0.891638572390507;1.84499580317228;1.056766889563;1.67986748599979
"2020-09-29";5;53;1.30893864423198;0.854961444432945;1.76291584403102;1.01223129726605;1.60564599119791
"2020-09-30";5;53;1.2364845763642;0.819217962146888;1.65375119058151;0.963772530238271;1.50919662249013
"2020-10-01";5;53;1.1626429131262;0.788848356071438;1.53643747018096;0.918336680410297;1.4069491458421
"2020-10-02";5;53;1.05813286960989;0.703517999252041;1.41274773996773;0.826398354847501;1.28986738437227
"2020-10-03";5;53;0.989428597101208;0.662912680215516;1.3159445139869;0.776053160913863;1.20280403328855
"2020-10-04";5;53;0.928558848884824;0.609075028659368;1.24804266911028;0.719791869122299;1.13732582864735
"2020-10-05";5;53;0.837316334756057;0.524533829719408;1.15009883979271;0.632939230189668;1.04169343932245
"2020-10-06";5;53;0.805039025703856;0.494482384491877;1.11559566691583;0.602099911692327;1.00797813971538
"2020-10-07";5;53;0.75267242501141;0.440799584639751;1.06454526538307;0.54887337888841;0.95647147113441
"2020-10-08";5;53;0.714000890722618;0.392459236183979;1.03554254526126;0.503888950986845;0.924112830458391
"2020-10-09";5;53;0.711161795349953;0.3813734208784;1.04095016982151;0.495646358761169;0.926677231938736
"2020-10-10";5;53;0.731874894338522;0.38418649304724;1.0795632956298;0.504662428008189;0.959087360668855
"2020-10-11";5;53;0.750536406984069;0.391834281153927;1.10923853281421;0.516125094202587;0.984947719765551
"2020-10-12";5;53;0.78871544317635;0.408674613159237;1.16875627319346;0.540368485593778;1.03706240075892
"2020-10-13";5;53;0.790033444357203;0.417417289529325;1.16264959918508;0.546522459797464;1.03354442891694
"2020-10-14";5;53;0.836708017370836;0.439498354724075;1.2339176800176;0.577138895681508;1.09627713906016
"2020-10-15";5;53;0.891248443665696;0.482799736173232;1.29969715115816;0.624324183296283;1.15817270403511
"2020-10-16";5;53;0.929259421430632;0.520900170847983;1.33761867201328;0.662378172576931;1.19614067028433
