"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-06-16";8;81012;1.2700516599875;1.01377137465323;1.52633194532178
"2020-06-17";8;81012;1.20774193944625;0.979074279927653;1.43640959896484
"2020-06-18";8;81012;1.15738921655642;0.935974085401432;1.37880434771141
"2020-06-19";8;81012;1.11286392829241;0.894727163732038;1.33100069285278
"2020-06-20";8;81012;1.07339564204464;0.866520670859632;1.28027061322964
"2020-06-21";8;81012;1.04705444900327;0.857036105339308;1.23707279266723
"2020-06-22";8;81012;1.01438238629575;0.844073997738213;1.18469077485329
"2020-06-23";8;81012;1.00327189907133;0.83334132496537;1.17320247317729
"2020-06-24";8;81012;0.994129731792441;0.829045204666169;1.15921425891871
"2020-06-25";8;81012;0.977868601309533;0.820396891250203;1.13534031136886
"2020-06-26";8;81012;0.948340439972784;0.789320896319216;1.10735998362635
"2020-06-27";8;81012;0.916335476801409;0.755592091461252;1.07707886214157
"2020-06-28";8;81012;0.902540471139166;0.741547611744591;1.06353333053374
"2020-06-29";8;81012;0.870273466087561;0.711459115505619;1.0290878166695
"2020-06-30";8;81012;0.849600250884432;0.682532326105529;1.01666817566334
"2020-07-01";8;81012;0.839487156734422;0.663117479578878;1.01585683388997
"2020-07-02";8;81012;0.839101203427259;0.670217405173579;1.00798500168094
"2020-07-03";8;81012;0.84261815328512;0.67256176872986;1.01267453784038
"2020-07-04";8;81012;0.85165002135934;0.675571111760859;1.02772893095782
"2020-07-05";8;81012;0.874097954258967;0.694961542559788;1.05323436595815
"2020-07-06";8;81012;0.888074974068561;0.698137547286201;1.07801240085092
"2020-07-07";8;81012;0.891235342293706;0.698840455702778;1.08363022888463
"2020-07-08";8;81012;0.923867575709809;0.705639272233513;1.14209587918611
"2020-07-09";8;81012;0.949036305272345;0.749574881590544;1.14849772895415
"2020-07-10";8;81012;1.00217431262238;0.81317284537208;1.19117577987269
"2020-07-11";8;81012;1.03688891781245;0.837058486775215;1.23671934884968
"2020-07-12";8;81012;1.08407735740992;0.876946323522616;1.29120839129723
"2020-07-13";8;81012;1.12034558280756;0.893270275665705;1.34742088994941
"2020-07-14";8;81012;1.15921658218353;0.934468453530139;1.38396471083692
