Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26
Antofagasta,2.0,Taltal,2104.0,13657.0,4,9,1,7,11,2,7,5,11,18,19,14,23,18,51,49,83,81,53,58,47,37,23,21,8,15,14,8,17,12,7,7,10,10,18,19,10,18,7,1,4,4,1,6,2,-,1,2,8,2,3,7,7,10,4,8,1,11,11,5,14,7,6,5,10,6,12,37,45,134,238,186,126,77.0,36.0,34.0,56.0,30.0,12.0,0.0,5.0,6
Antofagasta,2.0,Calama,2201.0,190336.0,60,35,20,35,40,22,30,42,34,29,20,39,40,66,194,212,225,244,229,282,239,296,257,280,301,279,353,505,429,407,340,329,361,412,431,422,349,349,259,224,173,88,49,28,37,24,21,7,9,18,17,26,33,36,53,69,95,87,159,119,81,83,103,99,106,74,207,779,1516,2161,2174,1608,1106,874.0,628.0,595.0,418.0,396.0,277.0,264.0,122.0,224
Antofagasta,2.0,Ollague,2202.0,287.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,2,-,-,-,1,5,6,13,-,8,8,2,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0
Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,1,1,6,3,-,-,1,-,-,2,-,0,-,7,27,14,19,37,22,23,23,14,14,7,8,5,11,5,13,8,9,15,18,9,8,15,8,22,19,30,25,18,28,14,10,4,3,2,6,7,4,1,3,-,1,1,3,5,15,8,7,4,7,4,9,7,7,53,89,176,186,120,72,44.0,46.0,60.0,33.0,14.0,8.0,9.0,8.0,1
Antofagasta,2.0,Tocopilla,2301.0,28079.0,4,1,2,3,-,-,3,1,-,1,7,14,7,8,5,5,15,13,10,4,5,17,28,49,34,33,20,9,20,22,10,8,9,8,6,2,6,7,15,26,18,11,8,3,4,-,-,-,4,1,-,3,4,10,6,16,10,34,24,23,18,14,14,35,10,33,87,250,153,277,302,181,113,114.0,87.0,91.0,54.0,29.0,14.0,14.0,9.0,7
Antofagasta,2.0,Maria Elena,2302.0,6814.0,-,-,5,1,-,1,1,-,-,-,1,11,3,-,-,2,6,34,30,15,7,5,-,1,2,8,4,10,9,10,5,6,12,7,6,7,7,17,7,5,2,3,-,-,1,1,1,-,-,-,-,2,-,1,-,4,2,-,-,9,4,-,3,-,0,-,12,45,68,75,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Atacama,3.0,Copiapo,3101.0,171766.0,60,71,86,76,53,11,18,20,26,25,27,48,49,102,216,267,288,314,259,237,217,271,245,254,280,249,348,576,603,621,431,478,449,455,456,419,456,480,417,348,360,232,168,112,63,37,26,20,33,32,33,43,39,29,56,64,109,123,133,161,206,224,191,-,0,118,177,386,692,1625,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Atacama,3.0,Caldera,3102.0,19426.0,-,8,1,7,3,5,1,1,1,2,13,19,27,7,31,10,33,29,16,14,22,40,48,73,54,46,63,63,49,66,20,11,14,55,46,43,47,55,38,47,29,27,19,8,6,7,22,28,25,24,6,28,21,10,9,12,10,5,28,39,28,22,5,11,34,20,44,45,118,325,497,534,482,320.0,223.0,95.0,63.0,33.0,32.0,21.0,10.0,7
Atacama,3.0,Tierra Amarilla,3103.0,14312.0,10,13,9,6,4,3,6,5,12,1,3,12,3,7,29,38,25,53,47,37,31,23,55,23,16,16,33,60,53,45,44,44,45,63,111,68,65,34,33,35,69,50,24,15,5,-,2,1,1,1,3,3,1,3,10,13,14,7,17,6,14,13,13,7,5,3,5,57,113,247,363,221,282,110.0,99.0,92.0,63.0,30.0,18.0,3.0,10.0,7
Atacama,3.0,Chanaral,3201.0,13164.0,1,-,3,-,3,-,4,-,2,1,1,-,-,4,11,25,22,11,11,6,35,17,31,36,34,24,22,30,20,34,56,35,21,11,16,20,26,25,37,42,27,24,12,5,2,4,2,3,11,6,4,1,4,1,6,20,2,2,14,10,13,9,6,-,0,19,16,38,64,70,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Atacama,3.0,Diego de Almagro,3202.0,14358.0,21,23,23,15,12,2,4,5,1,1,2,3,8,1,28,30,29,48,20,13,9,17,17,23,38,29,33,22,34,21,14,19,33,36,85,46,39,32,42,25,31,13,16,11,5,2,1,2,2,-,1,-,8,10,2,9,17,12,15,39,11,4,3,-,1,3,10,52,85,202,217,197,220,190.0,146.0,110.0,123.0,110.0,42.0,25.0,18.0,17
Atacama,3.0,Vallenar,3301.0,57009.0,76,51,27,25,16,11,17,35,18,32,22,12,17,9,31,70,69,71,62,64,67,65,56,85,112,90,128,168,178,173,161,129,107,140,189,149,164,131,88,90,62,48,51,20,17,15,8,5,2,-,-,3,14,28,13,5,10,60,95,165,143,93,25,7,17,13,4,66,164,353,371,717,603,665.0,511.0,359.0,282.0,225.0,109.0,63.0,82.0,34
Atacama,3.0,Alto del Carmen,3302.0,5729.0,2,-,-,-,-,-,-,1,1,-,1,1,-,-,1,3,4,9,2,5,14,8,8,3,10,14,12,17,12,14,6,6,4,11,20,5,14,6,5,9,9,5,1,-,2,-,-,-,-,-,-,6,-,-,4,-,-,-,-,3,13,10,3,-,-,-,11,34,9,22,68,53,35,26.0,43.0,18.0,25.0,21.0,3.0,0.0,7.0,2
Atacama,3.0,Freirina,3303.0,7681.0,12,9,2,2,1,-,-,2,3,-,1,5,2,2,6,4,6,38,29,17,5,19,17,15,18,18,10,15,21,14,28,24,22,19,17,14,28,15,13,10,14,8,8,3,1,-,2,1,-,-,-,-,2,1,-,-,1,1,1,4,10,9,12,5,1,-,2,3,13,30,97,140,181,107.0,130.0,71.0,43.0,24.0,25.0,16.0,11.0,9
Atacama,3.0,Huasco,3304.0,11264.0,6,5,12,5,17,5,9,21,19,4,1,-,-,-,1,8,9,35,23,19,13,6,24,34,16,12,7,16,3,6,15,11,6,19,25,16,30,26,23,23,8,8,2,2,6,2,-,2,3,-,-,2,-,-,1,-,5,5,11,22,24,19,13,5,1,4,5,13,31,69,135,158,168,126.0,145.0,102.0,45.0,37.0,22.0,6.0,9.0,7
Coquimbo,4.0,La Serena,4101.0,249656.0,78,61,46,49,48,36,29,37,52,45,60,74,104,106,178,224,282,338,410,352,380,394,507,497,563,513,422,392,413,457,456,393,396,444,495,546,533,520,385,315,186,149,126,88,55,79,57,46,43,27,26,36,104,64,62,115,146,162,190,161,204,158,134,96,84,77,165,604,1298,2402,2664,2549,2279,1791.0,1399.0,1091.0,834.0,597.0,376.0,285.0,191.0,239
Coquimbo,4.0,Coquimbo,4102.0,256735.0,85,58,61,59,48,31,36,48,52,52,43,78,58,95,143,217,238,281,292,249,272,340,407,326,380,352,302,300,284,284,298,346,416,517,547,493,474,464,325,231,229,153,114,102,61,45,38,33,30,27,19,92,71,54,73,137,175,148,208,247,288,276,216,120,86,104,162,505,1125,2246,2735,2804,2025,1410.0,1156.0,905.0,752.0,551.0,362.0,196.0,175.0,174
