Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26
Valparaiso,5.0,Calera,5502.0,53591.0,22,16,20,15,12,16,21,12,9,6,5,7,9,20,27,41,34,34,37,51,51,69,86,105,127,188,228,220,182,155,149,128,128,131,123,153,146,160,138,58,81,18,24,25,27,26,19,23,5,5,1,9,8,13,11,18,15,24,29,49,29,24,16,9,10,13,14,36,126,285,441,559,433,349.0,265.0,194.0,164.0,77.0,63.0,35.0,39.0,27
Valparaiso,5.0,Hijuelas,5503.0,19099.0,7,17,-,-,1,1,1,-,3,1,5,3,2,7,23,37,14,25,13,19,14,22,21,21,33,45,59,84,66,68,75,60,49,38,35,37,49,42,21,34,19,5,5,5,4,1,3,7,3,8,1,3,12,1,3,17,2,8,18,15,15,7,7,-,2,7,7,13,29,90,135,164,168,157.0,137.0,78.0,54.0,59.0,54.0,20.0,22.0,10
Valparaiso,5.0,La Cruz,5504.0,25321.0,15,4,5,4,6,10,8,9,3,1,3,5,8,3,18,33,19,28,17,22,22,17,22,37,45,94,75,54,74,61,47,42,51,49,56,57,61,61,40,32,41,27,33,16,5,10,9,10,8,9,3,2,4,1,3,6,4,2,11,12,7,5,8,5,9,6,5,22,40,122,176,215,200,124.0,153.0,123.0,82.0,49.0,35.0,25.0,15.0,19
Valparaiso,5.0,Nogales,5506.0,23490.0,13,6,8,8,6,4,1,3,5,2,8,21,9,16,28,20,26,18,14,32,23,24,31,51,67,58,73,80,59,49,44,41,18,24,49,54,74,66,46,33,23,15,21,11,3,3,1,2,-,-,3,1,1,1,3,2,10,1,5,4,7,9,5,7,-,5,4,11,28,82,151,181,157,174.0,154.0,120.0,103.0,66.0,40.0,14.0,14.0,12
Valparaiso,5.0,San Antonio,5601.0,96761.0,21,22,4,2,23,8,4,-,1,7,8,40,49,80,81,118,76,61,85,127,209,235,254,280,183,190,193,269,193,174,199,210,208,259,379,275,322,329,278,185,184,84,61,68,56,36,19,42,26,24,18,23,44,57,106,134,132,151,163,148,81,42,30,29,28,71,96,216,402,730,876,922,789,580.0,460.0,388.0,272.0,132.0,105.0,60.0,56.0,37
Valparaiso,5.0,Algarrobo,5602.0,15174.0,9,3,2,12,15,9,2,1,5,15,2,8,3,2,4,16,30,14,16,21,25,19,30,27,16,34,47,13,47,49,37,20,27,35,28,36,44,31,30,15,19,9,13,16,21,5,3,7,1,2,3,18,18,9,13,29,16,16,47,13,22,6,7,10,10,11,23,56,126,257,353,293,344,225.0,130.0,83.0,53.0,37.0,28.0,20.0,22.0,19
Valparaiso,5.0,Cartagena,5603.0,25357.0,26,14,6,4,6,3,7,1,5,11,4,15,9,17,8,33,24,44,33,29,23,34,50,33,47,53,60,76,85,60,45,73,72,93,89,109,107,125,79,38,42,26,31,15,39,24,9,18,13,4,6,15,23,14,41,52,57,48,65,52,26,29,7,10,8,8,17,30,112,206,335,372,288,217.0,134.0,126.0,103.0,50.0,22.0,11.0,7.0,8
Valparaiso,5.0,El Quisco,5604.0,17742.0,8,4,12,2,5,1,4,4,2,1,-,13,11,6,7,11,11,8,11,16,4,16,26,26,22,21,19,22,38,24,50,48,37,46,56,50,102,69,32,32,16,6,6,11,11,5,4,6,-,-,7,6,7,10,15,18,32,39,31,16,22,26,11,9,15,9,16,78,141,303,278,291,261,173.0,98.0,51.0,33.0,26.0,30.0,9.0,16.0,8
Valparaiso,5.0,El Tabo,5605.0,14338.0,4,5,-,3,3,-,-,2,2,5,-,5,7,11,7,8,13,8,14,21,18,10,25,19,25,33,44,33,24,22,18,35,36,29,45,57,63,78,74,34,18,9,7,5,5,4,4,3,1,4,4,3,3,3,15,12,28,28,46,20,8,9,5,9,9,8,17,53,111,221,372,355,318,207.0,99.0,64.0,59.0,24.0,19.0,9.0,15.0,19
Valparaiso,5.0,Santo Domingo,5606.0,11934.0,-,2,-,12,-,-,1,79,-,-,1,4,4,7,6,13,8,6,4,7,17,12,23,17,16,17,10,23,23,4,29,9,23,24,32,47,33,16,23,18,16,32,18,12,11,10,1,2,1,1,-,2,3,3,5,13,27,18,23,22,7,4,-,3,10,2,27,53,69,113,175,169,180,98.0,67.0,71.0,49.0,39.0,17.0,17.0,11.0,10
Valparaiso,5.0,San Felipe,5701.0,83494.0,66,41,38,36,16,21,38,20,19,28,28,42,29,60,83,64,68,59,51,62,55,82,103,87,90,126,189,248,189,203,159,162,191,200,249,274,367,291,217,140,117,50,50,39,38,25,39,36,24,5,3,14,7,23,24,19,41,38,47,25,31,25,29,42,34,17,31,98,264,559,794,1122,957,679.0,559.0,497.0,458.0,330.0,230.0,201.0,126.0,124
Valparaiso,5.0,Catemu,5702.0,15213.0,14,13,16,5,1,6,-,-,2,-,4,-,7,4,5,6,2,11,16,25,14,17,40,6,25,34,51,59,28,23,30,9,14,19,13,19,57,39,50,32,18,15,8,7,7,4,2,3,3,1,-,-,2,6,3,6,5,6,1,5,4,3,10,4,3,4,5,17,54,88,153,215,183,164.0,108.0,99.0,97.0,53.0,34.0,26.0,20.0,19
Valparaiso,5.0,Llaillay,5703.0,26533.0,11,20,32,10,18,11,14,1,4,6,10,7,2,16,23,13,13,3,4,7,16,22,24,54,69,57,86,83,64,45,36,46,38,28,55,47,122,142,103,98,86,52,53,23,9,16,10,2,7,-,-,2,12,20,17,15,4,22,18,5,7,10,3,3,2,12,6,34,67,138,284,356,404,231.0,228.0,166.0,128.0,44.0,52.0,24.0,38.0,23
Valparaiso,5.0,Panquehue,5704.0,7633.0,2,6,4,-,1,2,2,4,-,-,2,-,1,-,8,5,9,9,7,6,7,7,7,10,4,10,25,24,20,16,16,16,19,22,24,28,25,20,17,9,5,2,1,2,3,-,2,5,4,4,-,-,7,7,5,4,4,1,4,-,-,1,2,2,4,-,3,7,20,53,60,80,83,53.0,41.0,40.0,51.0,24.0,30.0,10.0,7.0,11
Valparaiso,5.0,Putaendo,5705.0,17645.0,10,16,7,1,1,2,13,6,1,1,1,2,2,13,8,6,15,7,8,8,12,17,15,20,25,38,36,49,40,32,32,27,18,27,32,61,54,49,47,28,21,10,6,8,6,11,5,4,3,3,1,-,2,6,1,10,9,18,19,14,20,3,4,6,2,4,-,11,34,96,198,216,265,169.0,133.0,138.0,146.0,80.0,60.0,52.0,32.0,40
Valparaiso,5.0,Santa Maria,5706.0,16367.0,12,11,8,1,3,7,4,3,7,2,8,2,4,9,9,13,11,15,12,22,5,19,8,5,24,30,46,37,27,19,30,40,53,46,61,40,54,63,48,44,15,11,17,3,5,4,11,1,-,-,1,1,4,7,3,4,4,-,-,2,6,4,12,-,0,2,3,16,51,120,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Quilpue,5801.0,167085.0,98,80,87,83,85,82,72,86,91,82,84,89,73,101,203,177,186,171,126,127,161,209,220,314,373,458,441,422,427,358,333,279,238,211,311,364,385,347,289,202,184,104,83,61,49,53,48,25,23,15,14,15,22,52,63,109,104,-,-,130,150,89,70,-,0,51,118,306,553,1000,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Limache,5802.0,49931.0,7,2,8,-,4,3,7,4,9,6,2,5,7,5,21,27,15,16,7,22,10,16,15,35,42,46,47,39,43,54,46,41,41,44,28,58,43,37,14,23,11,5,4,10,16,3,7,5,2,1,3,1,2,5,4,4,12,28,43,31,21,16,11,10,27,20,22,78,134,287,405,406,391,315.0,300.0,243.0,190.0,137.0,61.0,39.0,43.0,50
Valparaiso,5.0,Olmue,5803.0,19266.0,11,8,11,7,1,2,4,2,3,4,10,6,7,4,6,16,27,32,18,16,23,16,21,36,43,64,42,49,39,37,49,48,43,51,56,55,49,53,37,22,30,11,29,12,29,17,15,15,2,2,6,1,2,-,3,3,7,10,27,17,15,2,18,-,0,11,8,43,92,180,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Valparaiso,5.0,Villa Alemana,5804.0,139310.0,81,64,72,71,44,33,58,46,62,55,67,70,44,104,167,147,138,125,133,118,115,141,161,239,280,405,373,350,315,395,262,231,232,189,252,255,287,280,263,193,184,97,73,41,37,25,21,30,22,14,12,14,19,27,23,51,53,61,108,113,114,81,52,65,46,43,74,178,391,561,716,967,1049,885.0,754.0,607.0,460.0,314.0,182.0,118.0,98.0,75
Del Libertador General Bernardo O’Higgins,6.0,Rancagua,6101.0,265211.0,213,200,168,149,122,135,104,115,132,133,155,185,188,205,320,346,427,419,317,331,252,338,398,482,626,678,699,764,659,559,655,641,747,930,1089,1240,963,721,467,331,251,133,127,93,90,80,93,81,67,54,49,53,80,90,123,157,187,131,169,108,76,78,51,39,38,58,115,305,724,1906,2241,2723,3137,2386.0,2103.0,1634.0,1306.0,827.0,424.0,358.0,222.0,256
Del Libertador General Bernardo O’Higgins,6.0,Codegua,6102.0,14096.0,11,21,21,10,9,6,3,6,5,4,3,2,3,16,19,20,10,11,7,10,12,16,12,9,31,35,55,50,36,54,46,43,36,40,34,65,42,38,19,21,7,10,3,2,4,5,9,-,4,1,4,1,4,6,12,8,5,5,12,5,3,4,3,7,3,2,3,15,32,71,103,116,136,63.0,93.0,53.0,56.0,31.0,13.0,14.0,11.0,7
Del Libertador General Bernardo O’Higgins,6.0,Coinco,6103.0,7831.0,-,3,3,1,1,2,3,2,1,2,11,4,2,1,-,4,11,14,3,3,7,5,6,7,3,2,2,8,4,3,9,13,11,15,15,19,10,11,3,3,7,6,3,-,1,1,2,-,-,1,1,-,-,-,1,1,-,3,9,2,1,1,-,2,-,-,1,4,5,9,32,92,71,52.0,54.0,47.0,34.0,17.0,12.0,8.0,12.0,7
Del Libertador General Bernardo O’Higgins,6.0,Coltauco,6104.0,21263.0,8,12,12,6,2,5,9,11,16,39,32,9,11,14,14,20,22,27,19,24,21,23,16,25,36,33,34,20,35,31,31,25,20,32,36,48,36,19,17,7,12,2,7,-,3,3,2,1,1,1,3,1,3,-,-,2,5,4,4,2,2,-,1,2,3,-,5,4,17,66,189,192,178,187.0,128.0,118.0,87.0,46.0,38.0,11.0,9.0,9
Del Libertador General Bernardo O’Higgins,6.0,Donihue,6105.0,22700.0,26,23,26,15,7,14,20,10,14,34,34,17,9,10,37,26,29,26,35,22,37,33,43,45,39,42,41,53,32,32,41,37,42,54,70,86,70,57,33,27,22,13,11,3,5,3,2,5,3,4,33,6,5,3,3,3,7,2,5,4,3,2,2,-,0,7,9,21,36,116,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Del Libertador General Bernardo O’Higgins,6.0,Graneros,6106.0,36504.0,16,20,3,6,7,3,9,13,8,2,6,3,6,6,26,31,20,36,34,26,26,19,14,25,65,78,77,87,77,72,62,45,58,50,55,86,72,73,37,16,25,9,7,4,1,1,-,1,1,-,2,1,-,6,6,5,17,20,14,4,10,3,11,3,9,14,17,54,129,242,239,317,297,222.0,202.0,182.0,184.0,99.0,54.0,40.0,12.0,14
Del Libertador General Bernardo O’Higgins,6.0,Las Cabras,6107.0,26749.0,21,19,23,27,28,6,5,16,18,11,8,16,16,38,64,28,34,45,37,38,46,57,37,50,37,51,64,78,81,72,95,79,139,123,101,88,44,45,63,53,58,28,5,12,4,3,1,2,9,5,3,2,3,1,2,12,23,20,31,15,28,15,6,5,4,8,17,51,96,236,225,301,172,156.0,184.0,143.0,112.0,66.0,67.0,25.0,12.0,14
Del Libertador General Bernardo O’Higgins,6.0,Machali,6108.0,59913.0,13,11,11,10,5,16,10,4,9,11,9,19,11,28,23,10,32,36,18,22,27,54,57,49,55,59,56,62,72,66,60,77,79,86,82,128,87,87,60,45,24,12,14,15,9,9,6,8,11,14,9,15,12,8,15,14,27,24,32,17,13,23,13,-,0,12,35,73,131,324,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Del Libertador General Bernardo O’Higgins,6.0,Malloa,6109.0,14163.0,20,5,7,22,13,6,6,6,7,14,4,1,3,1,15,20,16,25,16,14,11,8,32,24,28,35,41,55,35,40,51,26,67,39,65,71,38,25,22,12,4,5,-,2,2,-,5,6,4,2,-,4,-,4,1,5,13,4,3,1,2,1,2,5,6,2,3,4,14,64,73,109,140,67.0,63.0,50.0,30.0,25.0,19.0,12.0,5.0,1
Del Libertador General Bernardo O’Higgins,6.0,Mostazal,6110.0,27462.0,13,10,20,22,20,16,4,15,2,8,2,6,5,9,24,23,29,35,28,34,36,16,22,23,40,44,55,57,62,67,74,68,94,97,127,133,116,104,65,51,27,15,5,7,11,-,1,6,8,18,5,6,22,24,22,16,12,8,24,19,14,5,5,5,14,2,12,30,79,133,243,295,282,222.0,194.0,160.0,123.0,50.0,49.0,24.0,27.0,16
Del Libertador General Bernardo O’Higgins,6.0,Olivar,6111.0,14624.0,15,11,18,5,-,-,2,8,8,9,5,8,4,9,19,28,29,32,15,4,24,39,43,39,35,45,35,36,38,18,34,27,37,35,56,47,46,27,15,5,10,5,3,5,-,2,3,7,3,-,-,3,3,3,6,5,3,4,10,3,4,-,1,-,2,-,5,14,16,53,77,81,121,125.0,128.0,73.0,55.0,35.0,19.0,21.0,10.0,6
Del Libertador General Bernardo O’Higgins,6.0,Peumo,6112.0,14952.0,7,12,14,15,3,-,2,4,6,2,3,10,4,12,23,27,37,37,17,13,21,15,21,28,19,18,17,29,22,22,19,18,21,24,42,46,36,25,16,14,12,3,-,2,-,1,1,-,1,-,1,-,-,-,1,1,5,5,2,4,3,-,2,2,1,1,3,10,19,63,101,129,160,116.0,116.0,129.0,92.0,48.0,39.0,15.0,8.0,4
Del Libertador General Bernardo O’Higgins,6.0,Pichidegua,6113.0,20743.0,23,9,30,21,8,5,4,15,4,5,2,13,24,24,27,18,19,16,13,26,19,37,30,46,39,41,38,72,63,38,20,16,17,20,24,39,57,49,20,8,10,14,6,2,-,-,4,2,1,-,-,-,-,-,1,8,14,15,9,3,2,1,2,2,-,6,11,24,30,88,105,124,123,85.0,77.0,57.0,45.0,22.0,18.0,7.0,6.0,6
Del Libertador General Bernardo O’Higgins,6.0,Quinta de Tilcoco,6114.0,13877.0,3,5,6,9,1,3,-,1,-,-,2,3,5,4,19,18,23,25,25,23,4,27,27,23,19,28,18,33,19,29,47,24,27,26,33,33,23,23,23,14,16,-,1,-,2,9,7,12,1,2,-,1,-,-,1,1,-,2,4,7,3,2,-,1,1,-,6,5,33,42,58,72,89,57.0,82.0,62.0,41.0,30.0,12.0,10.0,4.0,2
Del Libertador General Bernardo O’Higgins,6.0,Rengo,6115.0,63710.0,42,60,30,37,20,12,10,10,13,30,22,28,43,53,85,87,107,121,114,139,111,127,165,141,155,141,117,154,160,177,170,148,171,172,203,237,219,146,91,73,41,13,27,15,20,16,16,8,9,4,12,6,4,25,26,77,58,37,13,28,53,28,17,37,21,25,24,59,170,436,597,662,686,509.0,413.0,345.0,251.0,144.0,67.0,30.0,29.0,23
Del Libertador General Bernardo O’Higgins,6.0,Requinoa,6116.0,30371.0,23,26,15,13,8,6,6,8,15,11,10,18,12,16,39,39,49,73,44,30,22,30,33,37,33,50,90,102,99,127,91,98,128,106,90,70,72,55,39,38,22,3,31,39,22,13,12,10,1,11,4,8,5,6,15,10,16,9,6,9,14,7,1,-,0,1,12,27,54,195,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Del Libertador General Bernardo O’Higgins,6.0,San Vicente,6117.0,50617.0,26,54,58,30,14,17,10,9,9,10,15,13,22,63,136,177,181,155,79,78,100,107,71,77,103,97,118,149,127,115,74,90,117,100,77,100,124,96,75,48,41,20,20,10,5,4,19,16,15,4,10,6,3,10,8,39,31,27,14,19,4,16,8,6,3,7,12,39,64,222,274,428,486,467.0,360.0,306.0,261.0,147.0,96.0,57.0,25.0,34
Del Libertador General Bernardo O’Higgins,6.0,Pichilemu,6201.0,17882.0,-,3,5,4,4,11,13,-,1,1,1,7,6,1,12,6,18,17,11,23,24,49,44,38,38,42,21,19,21,22,13,8,9,20,16,42,19,16,27,10,8,1,15,8,3,2,1,-,2,-,-,1,7,11,9,10,14,33,32,28,16,11,9,6,16,4,9,16,54,129,126,144,185,142.0,123.0,70.0,64.0,33.0,28.0,15.0,23.0,13
Del Libertador General Bernardo O’Higgins,6.0,La Estrella,6202.0,3114.0,2,-,-,-,-,1,-,1,4,1,2,1,-,1,1,-,1,3,6,5,1,5,6,14,1,7,8,13,7,9,1,2,1,3,4,3,2,6,4,7,3,7,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,-,-,1,-,-,3,8,11,8,16,14,36.0,22.0,9.0,6.0,6.0,4.0,1.0,1.0,4
Del Libertador General Bernardo O’Higgins,6.0,Litueche,6203.0,6765.0,3,-,-,1,2,-,-,-,-,-,2,3,1,12,18,1,3,3,11,5,7,4,10,10,20,19,7,15,20,12,8,24,10,12,20,22,22,17,17,5,3,3,3,-,1,-,1,-,-,-,1,2,2,2,-,1,-,1,9,1,2,1,-,1,4,2,1,7,14,51,51,75,81,57.0,68.0,54.0,31.0,19.0,14.0,6.0,8.0,4
Del Libertador General Bernardo O’Higgins,6.0,Marchihue,6204.0,7632.0,1,-,-,-,5,3,1,5,16,2,4,8,10,10,3,3,3,7,9,8,6,-,4,1,2,13,16,12,19,7,10,9,12,14,14,12,16,9,2,2,7,2,4,1,-,-,-,-,-,-,-,-,-,-,-,1,1,8,4,7,1,1,1,-,3,1,1,4,7,31,45,77,53,52.0,33.0,43.0,22.0,23.0,6.0,5.0,7.0,3
Del Libertador General Bernardo O’Higgins,6.0,Navidad,6205.0,6904.0,-,1,-,1,-,1,2,-,1,1,-,4,3,4,1,-,2,3,2,1,6,18,29,21,13,14,8,15,8,8,5,9,12,33,29,27,37,28,8,7,14,3,8,2,-,7,13,4,-,-,-,-,3,6,1,3,7,3,1,25,17,15,4,5,1,3,6,7,18,72,44,26,49,47.0,33.0,26.0,23.0,20.0,16.0,14.0,19.0,10
Del Libertador General Bernardo O’Higgins,6.0,Paredones,6206.0,6349.0,6,3,1,1,5,11,3,-,1,-,-,14,29,12,6,10,12,10,8,4,5,4,10,10,16,12,14,9,29,31,38,26,13,16,15,14,17,19,10,5,6,3,4,10,7,3,5,3,1,-,3,-,-,3,11,8,3,2,8,2,2,4,1,4,1,1,2,-,7,27,35,36,49,39.0,34.0,33.0,19.0,9.0,6.0,5.0,5.0,6
Del Libertador General Bernardo O’Higgins,6.0,San Fernando,6301.0,78642.0,113,79,65,67,64,47,41,50,45,57,42,62,33,51,70,73,100,123,101,87,94,133,199,276,374,464,453,442,329,283,218,157,131,117,155,186,145,170,116,69,41,18,30,28,16,7,4,8,13,3,2,3,6,14,11,20,19,14,24,35,17,13,18,8,5,8,15,54,81,310,542,572,778,654.0,470.0,422.0,361.0,184.0,96.0,81.0,46.0,46
Del Libertador General Bernardo O’Higgins,6.0,Chepica,6302.0,15925.0,9,5,6,2,3,1,1,1,5,3,4,7,4,13,14,5,8,7,2,9,13,13,16,42,51,26,26,48,41,29,16,39,46,37,27,32,35,53,16,15,6,6,1,2,3,5,1,6,6,1,-,2,6,3,8,-,3,-,-,6,15,8,3,-,0,3,1,18,41,60,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Del Libertador General Bernardo O’Higgins,6.0,Chimbarongo,6303.0,37696.0,7,9,8,12,15,10,5,5,-,3,8,5,15,8,10,13,16,21,35,31,16,34,29,56,55,91,78,113,107,72,46,36,32,53,48,63,50,53,51,27,10,10,10,6,5,1,-,2,1,1,7,1,5,4,3,15,7,3,8,7,11,8,14,5,6,3,9,11,28,97,207,164,278,247.0,169.0,177.0,136.0,83.0,31.0,34.0,5.0,12
Del Libertador General Bernardo O’Higgins,6.0,Lolol,6304.0,7289.0,-,2,9,9,6,3,2,1,-,2,2,9,1,3,1,3,1,5,2,-,1,1,3,4,-,3,11,11,5,3,3,4,4,9,12,22,10,4,5,1,5,4,-,-,2,1,-,2,-,-,-,-,-,3,1,1,-,4,3,4,2,2,2,-,1,-,-,4,15,19,23,64,73,55.0,61.0,45.0,55.0,30.0,11.0,8.0,4.0,3
Del Libertador General Bernardo O’Higgins,6.0,Nancagua,6305.0,19141.0,10,2,2,5,3,3,4,2,-,2,-,5,1,5,26,9,26,16,9,19,19,36,68,53,42,59,52,54,53,39,58,56,37,39,35,27,22,26,13,17,4,4,1,7,4,-,6,1,-,-,1,6,4,5,2,10,22,16,13,14,11,4,2,2,5,2,3,14,41,78,152,114,157,127.0,132.0,95.0,71.0,41.0,21.0,4.0,5.0,8
Del Libertador General Bernardo O’Higgins,6.0,Palmilla,6306.0,13299.0,1,1,12,3,3,4,11,3,1,1,3,2,8,11,28,19,10,14,18,18,15,32,25,32,25,26,14,20,27,37,55,42,17,18,41,20,5,17,6,3,5,6,3,3,-,3,1,-,-,-,-,1,6,1,3,6,5,8,10,2,2,2,-,1,3,-,1,4,23,92,77,76,73,87.0,96.0,123.0,107.0,76.0,45.0,17.0,6.0,10
Del Libertador General Bernardo O’Higgins,6.0,Peralillo,6307.0,11848.0,6,7,12,4,2,-,1,2,8,1,2,3,6,13,22,10,11,13,22,32,29,20,19,13,16,26,55,37,31,21,33,36,19,32,15,25,10,11,7,10,1,4,5,6,1,1,-,-,2,2,2,3,2,-,2,4,6,2,4,4,3,-,2,3,-,-,-,1,12,50,33,74,74,108.0,102.0,98.0,69.0,47.0,24.0,10.0,12.0,9
Del Libertador General Bernardo O’Higgins,6.0,Placilla,6308.0,9164.0,8,5,4,-,5,5,-,-,1,3,-,3,1,1,9,4,3,13,12,36,14,13,12,19,37,56,46,50,42,23,19,40,14,20,17,21,13,25,15,8,6,1,1,1,-,1,6,2,8,2,-,2,3,1,1,5,11,1,2,2,2,4,-,1,1,1,4,17,27,64,53,50,67,108.0,80.0,49.0,20.0,23.0,17.0,6.0,4.0,4
Del Libertador General Bernardo O’Higgins,6.0,Pumanque,6309.0,3531.0,-,1,-,-,2,3,1,2,-,1,-,0,3,4,5,10,4,7,4,4,1,1,2,-,3,8,11,12,2,6,18,15,5,19,12,12,6,10,2,-,3,2,2,7,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,2,6,13,7,14,23,47.0,29.0,18.0,34.0,20.0,7.0,3.0,1.0,1
Del Libertador General Bernardo O’Higgins,6.0,Santa Cruz,6310.0,41096.0,17,9,19,13,15,7,23,19,12,13,19,11,30,66,85,72,72,90,44,31,28,34,58,91,103,69,60,76,47,39,47,67,69,63,78,75,68,83,47,34,19,6,20,2,-,3,7,3,6,2,2,8,4,9,9,25,24,16,17,11,16,7,1,10,5,9,13,26,107,312,474,529,566,578.0,456.0,371.0,220.0,168.0,97.0,66.0,35.0,30
Maule,7.0,Talca,7101.0,236724.0,208,215,191,148,139,111,107,109,75,66,185,232,247,327,400,506,630,590,606,488,442,347,407,523,551,709,589,644,436,416,407,500,528,592,686,684,582,500,305,280,176,136,144,105,77,91,91,43,37,29,39,38,24,45,92,113,135,111,151,138,137,130,98,72,63,82,116,247,504,1604,2558,3606,4552,4169.0,3487.0,2420.0,1852.0,1025.0,667.0,490.0,324.0,337
Maule,7.0,Constitucion,7102.0,50348.0,3,11,16,11,17,5,10,30,34,15,32,18,29,36,66,122,124,144,100,101,122,77,91,58,77,144,208,247,290,313,300,223,160,128,130,120,102,125,128,127,53,37,27,18,11,16,8,11,3,-,1,4,10,2,10,5,26,18,18,26,22,26,18,-,0,9,14,25,34,130,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Curepto,7103.0,9426.0,-,3,5,-,2,2,-,2,2,9,3,3,11,6,2,1,5,12,5,15,8,2,1,6,7,5,3,10,5,9,21,24,25,5,16,20,18,9,8,5,2,-,1,6,7,-,-,-,-,-,-,-,-,-,-,-,-,5,3,14,6,5,2,-,1,-,2,9,15,36,47,90,111,113.0,93.0,96.0,58.0,28.0,25.0,9.0,2.0,7
Maule,7.0,Empedrado,7104.0,4206.0,-,1,3,-,1,-,2,2,2,10,4,2,15,13,10,5,4,7,29,20,6,1,-,1,3,11,8,13,7,14,9,10,4,5,5,7,7,7,9,9,2,2,1,4,5,2,-,-,-,-,-,2,1,-,-,-,-,1,1,-,-,-,2,1,4,6,-,1,15,44,41,53,64,73.0,78.0,58.0,51.0,19.0,8.0,9.0,12.0,9
Maule,7.0,Maule,7105.0,60000.0,27,32,33,20,21,9,16,37,16,11,20,33,41,65,88,77,116,102,77,69,46,55,40,59,75,90,99,103,85,85,95,71,95,134,120,111,115,90,77,60,28,13,6,10,4,3,7,9,7,3,4,5,1,11,20,32,24,46,27,31,25,21,20,21,26,10,17,50,93,259,383,502,664,713.0,561.0,515.0,323.0,195.0,138.0,80.0,43.0,68
Maule,7.0,Pelarco,7106.0,9083.0,7,2,1,1,3,5,4,2,7,5,2,7,2,8,8,12,14,13,12,12,20,16,14,16,21,29,31,37,51,46,30,31,13,39,59,46,28,32,12,4,3,1,7,6,17,15,4,2,4,-,3,3,-,1,5,4,2,1,5,2,1,-,2,4,2,4,3,9,15,47,78,96,95,159.0,148.0,120.0,89.0,32.0,13.0,17.0,23.0,11
Maule,7.0,Pencahue,7107.0,8601.0,15,3,1,1,-,-,1,4,4,2,2,2,6,11,5,8,4,33,33,39,20,24,21,21,21,11,14,16,10,30,39,28,22,15,45,26,34,23,11,-,1,3,-,2,-,2,10,8,-,-,-,5,-,-,3,5,9,-,-,3,8,3,4,-,-,1,9,7,19,33,51,80,86,111.0,126.0,111.0,66.0,26.0,20.0,12.0,12.0,9
Maule,7.0,Rio Claro,7108.0,14753.0,9,7,2,5,3,2,18,2,2,5,4,11,29,22,32,28,34,20,16,24,30,15,17,22,35,62,52,100,49,68,63,57,69,60,66,50,35,16,11,45,30,19,9,8,7,4,2,-,2,-,-,5,2,7,4,6,4,3,5,9,16,6,13,-,0,2,2,13,17,75,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,San Clemente,7109.0,46292.0,17,16,7,5,12,7,2,13,20,15,38,25,42,81,98,87,113,104,73,119,99,66,52,64,133,150,165,173,147,142,86,76,87,79,143,107,161,177,111,90,34,29,25,32,24,18,4,8,14,12,11,3,7,8,18,14,20,16,35,11,25,19,9,26,17,7,9,42,70,143,312,202,241,531.0,543.0,345.0,283.0,169.0,90.0,66.0,52.0,31
