Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,38.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,21.0,16.0,13.0,8.0,18.0,17.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,6.0,16.0,23.0,31.0,25.0,25.0,30.0,98.0,93.0,112.0,102.0,70.0,77.0,55.0,56.0,35.0,16.0,22.0,25.0,13.0,19.0,21.0,23.0,14.0,9.0,18.0,10.0,31.0,25.0,29.0,11.0,7.0,5.0,0.0
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,15.0,18.0,29.0,35.0,35.0,35.0,45.0,19.0,20.0,19.0,17.0,13.0,9.0,9.0,4.0,2.0,14.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,45.0,20.0,30.0,59.0,36.0,36.0,28.0,20.0,18.0,18.0,11.0,7.0,12.0,6.0,24.0,12.0,16.0,23.0,15.0,7.0,12.0,17.0,13.0,38.0,24.0,45.0,12.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,8.0,6.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,6.0,9.0,9.0,6.0,10.0,18.0,14.0,2.0,10.0,10.0,15.0,9.0,1.0,3.0,4.0,5.0,7.0,2.0,13.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,16.0,10.0,17.0,14.0,12.0,18.0,16.0,17.0,4.0,11.0,31.0,37.0,75.0,42.0,48.0,15.0,17.0,23.0,32.0,19.0,15.0,12.0,11.0,13.0,17.0,13.0,10.0,23.0,19.0,5.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,8.0,8.0,2.0,6.0,14.0,37.0,57.0,32.0,16.0,19.0,7.0,8.0,8.0,9.0,19.0,14.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,10.0,6.0,3.0,2.0,5.0,0.0,10.0,12.0,15.0,8.0,28.0,43.0,67.0,103.0,110.0,92.0,66.0,79.0,84.0,68.0,69.0,66.0,41.0,46.0,36.0,45.0,41.0,27.0,42.0,59.0,50.0,39.0,42.0,35.0,37.0,16.0,19.0,6.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,1.0,6.0,5.0,0.0,12.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,34.0,37.0,64.0,100.0,153.0,248.0,392.0,503.0,648.0,634.0,844.0,1299.0,1589.0,1683.0,1640.0,1639.0,1265.0,1027.0,890.0,903.0,785.0,674.0,548.0,543.0,460.0,376.0,306.0,353.0,337.0,326.0,265.0,273.0,223.0,190.0,178.0,159.0,163.0,190.0,320.0,434.0,543.0,1014.0,1901.0,2047.0,1838.0,1828.0,1749.0,1425.0,1343.0,1281.0,1191.0,1247.0,1273.0,1154.0,1253.0,1262.0,1260.0,1067.0,906.0,957.0,1031.0,1016.0,1118.0,1043.0,943.0,831.0,792.0,483.0,124.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,4.0,5.0,17.0,10.0,3.0,9.0,17.0,2.0,11.0,5.0,18.0,9.0,1.0,4.0,3.0,8.0,19.0,5.0,17.0,4.0,6.0,4.0,1.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,31.0,43.0,23.0,3.0,14.0,13.0,3.0,3.0,6.0,3.0,4.0,8.0,1.0,1.0,5.0,1.0,1.0,10.0,28.0,21.0,13.0,23.0,17.0,38.0,30.0,16.0,15.0,28.0,56.0,44.0,71.0,54.0,59.0,59.0,73.0,58.0,47.0,23.0,10.0,23.0,50.0,61.0,24.0,47.0,45.0,40.0,25.0,11.0
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,11.0,2.0,4.0,9.0,6.0,12.0,11.0,10.0,19.0,13.0,21.0,35.0,17.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,15.0,21.0,22.0,13.0,7.0,16.0,37.0,29.0,40.0,24.0,33.0,29.0,30.0,28.0,25.0,39.0,48.0,33.0,22.0,8.0,11.0,30.0,18.0,24.0,53.0,21.0,1.0
