Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,18.0,21.0,33.0,35.0,35.0,36.0,46.0,19.0,20.0,19.0,18.0,13.0,8.0,9.0,4.0,2.0,14.0,7.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,8.0,45.0,20.0,31.0,59.0,36.0,37.0,13.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,12.0,7.0,11.0,21.0,16.0,2.0,10.0,10.0,15.0,9.0,2.0,4.0,2.0,6.0,7.0,2.0,13.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,16.0,10.0,17.0,14.0,12.0,19.0,15.0,17.0,5.0,0.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,8.0,8.0,4.0,6.0,25.0,50.0,61.0,42.0,22.0,22.0,7.0,8.0,9.0,9.0,19.0,14.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,11.0,6.0,3.0,2.0,4.0,0.0,11.0,12.0,15.0,8.0,29.0,43.0,67.0,103.0,110.0,90.0,61.0,21.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,41.0,30.0,26.0,20.0,21.0,21.0,26.0,26.0,13.0,13.0,9.0,4.0,8.0,3.0,5.0,6.0,10.0,1.0,7.0,9.0,4.0,11.0,4.0,0.0,3.0,1.0,4.0,1.0,8.0,14.0,17.0,18.0,39.0,20.0,9.0,29.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,34.0,37.0,63.0,100.0,156.0,253.0,395.0,508.0,654.0,635.0,856.0,1357.0,1674.0,1838.0,1751.0,1753.0,1355.0,1075.0,937.0,987.0,907.0,788.0,642.0,618.0,496.0,401.0,326.0,383.0,379.0,372.0,314.0,325.0,257.0,227.0,220.0,180.0,176.0,212.0,338.0,473.0,580.0,1058.0,2004.0,2226.0,2051.0,1950.0,1812.0,1388.0,299.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,5.0,4.0,4.0,0.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,31.0,43.0,23.0,3.0,14.0,13.0,3.0,3.0,6.0,3.0,4.0,9.0,1.0,0.0,5.0,0.0,1.0,10.0,29.0,21.0,13.0,24.0,17.0,39.0,30.0,16.0,16.0,1.0
