Grupo de edad,Sexo,Etapa clinica,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
50 - 54 años,M,,28.0,45.0,53.0,72.0,74.0,83.0,95.0,117.0,124.0,142.0,158.0,170.0,180.0,190.0,220.0,234.0,259.0,270.0,284.0,308.0,323.0,337.0,363.0,376.0,393.0,403.0,416.0,427.0,450.0,476.0,485.0,514.0,538.0,549.0,566.0,678.0,733.0,840.0,951.0,1082.0,1242.0,1638.0,1918.0,2643.0,3157.0,3837.0,4458.0,5240.0,5980.0,6926.0,7772.0,9839.0,10867.0,11944.0,12376.0,13105.0,13736.0,14132.0,14529.0,15162.0,15450.0,15790.0,16047.0,16388.0,16692.0,17037.0,17255.0,17532.0,17766.0,18064.0,18318.0,18611.0,18895.0,19176.0,19441.0,19709.0,19894.0,20176.0,20398.0,20699.0,20699.0,21201.0,21397.0,21624.0,21811.0,22090.0,22206.0,22431.0,22611.0,22829.0,23007.0,23210.0,23409.0,23649.0,23826.0,24053.0,24290.0,24559.0,24759.0,25022.0,25267.0,25585.0,25846.0,26222.0,26452.0,26914.0,27182.0,27716.0,28239.0,28906.0,29412.0,30120.0,30649.0,31343.0,31879.0,32466.0,32925.0,33516.0,33938.0,34515.0,34960.0,35622.0,36132.0,36902.0,37490.0,38447.0,39200.0,40289.0,41158.0,42323.0,43271.0,44512.0,45413.0,46813.0,47795.0,49121.0,50166.0,51286.0,52110.0,53102.0,53718.0,54551.0,55177.0,55940.0,56538.0,57298.0,57878.0,58777.0,59408.0,60242.0,60956.0,61868.0,62508.0,63349.0,63964.0,64521.0,65003.0,65434.0,65770.0,
55 - 59 años,M,,30.0,34.0,44.0,58.0,69.0,76.0,86.0,107.0,116.0,130.0,139.0,148.0,159.0,170.0,197.0,216.0,232.0,245.0,258.0,268.0,275.0,295.0,319.0,336.0,356.0,362.0,375.0,387.0,405.0,424.0,441.0,460.0,479.0,493.0,516.0,619.0,677.0,746.0,841.0,956.0,1115.0,1460.0,1710.0,2292.0,2775.0,3472.0,4083.0,4761.0,5436.0,6342.0,7244.0,9217.0,10188.0,11169.0,11605.0,12326.0,12947.0,13291.0,13650.0,14247.0,14505.0,14816.0,15071.0,15420.0,15706.0,16016.0,16235.0,16478.0,16700.0,16996.0,17225.0,17511.0,17750.0,18028.0,18250.0,18526.0,18707.0,18976.0,19226.0,19514.0,19514.0,19929.0,20144.0,20366.0,20550.0,20846.0,20947.0,21153.0,21334.0,21545.0,21732.0,21912.0,22113.0,22340.0,22513.0,22718.0,22917.0,23141.0,23355.0,23590.0,23812.0,24130.0,24383.0,24720.0,24963.0,25382.0,25649.0,26132.0,26549.0,27186.0,27713.0,28376.0,28876.0,29544.0,30042.0,30637.0,31076.0,31621.0,32051.0,32553.0,32955.0,33530.0,34020.0,34739.0,35361.0,36192.0,36908.0,37891.0,38720.0,39831.0,40717.0,41914.0,42758.0,44029.0,44916.0,46158.0,47017.0,48050.0,48740.0,49665.0,50264.0,50947.0,51437.0,52061.0,52568.0,53245.0,53780.0,54525.0,55095.0,55864.0,56552.0,57417.0,58046.0,58809.0,59343.0,59869.0,60313.0,60726.0,61057.0,
60 - 64 años,M,,18.0,26.0,31.0,39.0,52.0,56.0,65.0,78.0,83.0,91.0,107.0,110.0,115.0,126.0,145.0,155.0,171.0,182.0,190.0,201.0,214.0,224.0,239.0,258.0,270.0,274.0,282.0,290.0,305.0,314.0,327.0,337.0,346.0,359.0,377.0,434.0,480.0,550.0,621.0,716.0,840.0,1090.0,1305.0,1748.0,2079.0,2610.0,3053.0,3580.0,4084.0,4786.0,5378.0,6764.0,7494.0,8304.0,8618.0,9128.0,9647.0,9925.0,10193.0,10668.0,10858.0,11111.0,11297.0,11553.0,11746.0,11975.0,12163.0,12373.0,12558.0,12771.0,12975.0,13202.0,13397.0,13578.0,13754.0,13952.0,14107.0,14324.0,14512.0,14720.0,14720.0,15066.0,15210.0,15373.0,15511.0,15746.0,15838.0,15982.0,16125.0,16288.0,16423.0,16588.0,16730.0,16877.0,17010.0,17186.0,17340.0,17494.0,17670.0,17870.0,18037.0,18252.0,18458.0,18719.0,18921.0,19215.0,19451.0,19828.0,20171.0,20639.0,21024.0,21516.0,21907.0,22372.0,22738.0,23177.0,23521.0,23925.0,24256.0,24671.0,24989.0,25431.0,25817.0,26395.0,26849.0,27467.0,28019.0,28792.0,29365.0,30205.0,30815.0,31633.0,32281.0,33168.0,33788.0,34585.0,35100.0,35665.0,36087.0,36616.0,36977.0,37459.0,37817.0,38273.0,38679.0,39267.0,39703.0,40333.0,40829.0,41488.0,42040.0,42751.0,43278.0,43978.0,44464.0,44959.0,45344.0,45717.0,46019.0,
65 - 69 años,M,,14.0,18.0,23.0,27.0,34.0,38.0,45.0,50.0,55.0,63.0,70.0,75.0,82.0,91.0,101.0,110.0,119.0,125.0,130.0,135.0,144.0,151.0,160.0,172.0,179.0,182.0,193.0,200.0,211.0,226.0,234.0,241.0,248.0,256.0,268.0,319.0,342.0,376.0,412.0,468.0,530.0,663.0,772.0,1036.0,1239.0,1564.0,1829.0,2162.0,2481.0,2924.0,3296.0,4180.0,4657.0,5138.0,5367.0,5719.0,6038.0,6244.0,6451.0,6751.0,6878.0,7038.0,7142.0,7298.0,7427.0,7599.0,7712.0,7851.0,7973.0,8118.0,8240.0,8367.0,8496.0,8648.0,8785.0,8924.0,9018.0,9167.0,9282.0,9462.0,9462.0,9701.0,9798.0,9897.0,10033.0,10195.0,10250.0,10361.0,10449.0,10570.0,10667.0,10801.0,10878.0,10986.0,11077.0,11193.0,11309.0,11432.0,11523.0,11655.0,11768.0,11909.0,12030.0,12213.0,12360.0,12568.0,12746.0,13007.0,13230.0,13569.0,13825.0,14172.0,14437.0,14780.0,15028.0,15320.0,15547.0,15855.0,16079.0,16344.0,16549.0,16855.0,17102.0,17496.0,17805.0,18249.0,18577.0,19033.0,19377.0,19820.0,20190.0,20633.0,20935.0,21362.0,21667.0,22038.0,22336.0,22613.0,22854.0,23219.0,23468.0,23782.0,24021.0,24325.0,24617.0,24981.0,25240.0,25689.0,26051.0,26539.0,26921.0,27458.0,27879.0,28345.0,28692.0,29082.0,29392.0,29657.0,29880.0,
70 - 74 años,M,,16.0,21.0,23.0,26.0,27.0,30.0,31.0,41.0,43.0,48.0,57.0,61.0,67.0,73.0,86.0,92.0,100.0,106.0,108.0,112.0,118.0,127.0,132.0,140.0,152.0,157.0,159.0,161.0,165.0,168.0,171.0,174.0,178.0,182.0,189.0,210.0,225.0,241.0,267.0,296.0,355.0,445.0,534.0,711.0,856.0,1082.0,1316.0,1553.0,1776.0,2086.0,2353.0,2948.0,3232.0,3591.0,3764.0,3995.0,4228.0,4367.0,4515.0,4742.0,4847.0,4978.0,5059.0,5177.0,5286.0,5410.0,5504.0,5598.0,5681.0,5792.0,5874.0,5976.0,6083.0,6202.0,6289.0,6394.0,6483.0,6582.0,6658.0,6756.0,6756.0,6921.0,6996.0,7090.0,7161.0,7264.0,7305.0,7372.0,7451.0,7546.0,7603.0,7690.0,7756.0,7838.0,7890.0,7974.0,8028.0,8114.0,8188.0,8282.0,8377.0,8500.0,8580.0,8697.0,8782.0,8924.0,9023.0,9227.0,9403.0,9613.0,9800.0,10028.0,10215.0,10486.0,10680.0,10926.0,11090.0,11280.0,11467.0,11648.0,11803.0,12039.0,12229.0,12480.0,12703.0,12957.0,13181.0,13452.0,13687.0,13966.0,14164.0,14422.0,14597.0,14854.0,15008.0,15242.0,15443.0,15556.0,15744.0,15994.0,16177.0,16393.0,16559.0,16798.0,17005.0,17259.0,17453.0,17787.0,18022.0,18351.0,18649.0,18973.0,19238.0,19565.0,19831.0,20125.0,20355.0,20556.0,20743.0,
75 - 79 años,M,,8.0,8.0,9.0,12.0,15.0,18.0,19.0,25.0,27.0,35.0,43.0,46.0,48.0,50.0,60.0,66.0,70.0,74.0,77.0,80.0,81.0,88.0,93.0,99.0,103.0,108.0,115.0,120.0,127.0,131.0,133.0,140.0,143.0,144.0,154.0,169.0,175.0,194.0,208.0,225.0,255.0,321.0,371.0,484.0,589.0,757.0,875.0,1035.0,1200.0,1418.0,1608.0,2022.0,2248.0,2473.0,2582.0,2735.0,2911.0,2987.0,3072.0,3243.0,3304.0,3382.0,3438.0,3528.0,3598.0,3686.0,3760.0,3821.0,3894.0,3970.0,4034.0,4112.0,4194.0,4269.0,4325.0,4415.0,4478.0,4550.0,4617.0,4688.0,4688.0,4794.0,4851.0,4911.0,4974.0,5050.0,5085.0,5153.0,5207.0,5249.0,5289.0,5347.0,5401.0,5459.0,5502.0,5566.0,5614.0,5668.0,5722.0,5794.0,5859.0,5940.0,6016.0,6097.0,6145.0,6267.0,6347.0,6472.0,6574.0,6736.0,6843.0,7011.0,7158.0,7318.0,7452.0,7605.0,7711.0,7855.0,7963.0,8092.0,8201.0,8358.0,8513.0,8672.0,8840.0,9045.0,9174.0,9384.0,9544.0,9744.0,9860.0,10037.0,10165.0,10336.0,10464.0,10641.0,10782.0,10861.0,10965.0,11129.0,11244.0,11383.0,11498.0,11672.0,11818.0,12024.0,12165.0,12392.0,12553.0,12759.0,12938.0,13178.0,13376.0,13634.0,13812.0,13992.0,14154.0,14318.0,14461.0,
80 y más años,M,,6.0,9.0,9.0,13.0,14.0,15.0,18.0,22.0,25.0,27.0,31.0,37.0,40.0,46.0,54.0,59.0,65.0,74.0,78.0,80.0,84.0,92.0,97.0,101.0,105.0,111.0,116.0,116.0,124.0,127.0,129.0,137.0,145.0,156.0,170.0,196.0,207.0,229.0,245.0,269.0,304.0,382.0,430.0,558.0,681.0,844.0,1001.0,1189.0,1372.0,1659.0,1868.0,2334.0,2613.0,2904.0,3028.0,3240.0,3445.0,3581.0,3718.0,3919.0,4024.0,4124.0,4191.0,4270.0,4360.0,4458.0,4548.0,4629.0,4712.0,4819.0,4912.0,5030.0,5118.0,5196.0,5265.0,5344.0,5393.0,5508.0,5574.0,5676.0,5676.0,5850.0,5915.0,5980.0,6052.0,6155.0,6188.0,6251.0,6322.0,6399.0,6470.0,6542.0,6598.0,6650.0,6695.0,6749.0,6790.0,6853.0,6905.0,6964.0,7033.0,7111.0,7186.0,7272.0,7338.0,7452.0,7566.0,7698.0,7833.0,7998.0,8133.0,8324.0,8461.0,8659.0,8792.0,8969.0,9090.0,9256.0,9370.0,9510.0,9628.0,9827.0,10039.0,10275.0,10458.0,10678.0,10858.0,11082.0,11264.0,11487.0,11639.0,11858.0,12042.0,12268.0,12400.0,12640.0,12814.0,12857.0,12958.0,13137.0,13297.0,13466.0,13589.0,13781.0,13914.0,14109.0,14284.0,14543.0,14744.0,15010.0,15241.0,15485.0,15704.0,15961.0,16152.0,16378.0,16575.0,16750.0,16895.0,
00 - 04 años,F,,6.0,7.0,7.0,9.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,13.0,15.0,16.0,21.0,27.0,30.0,32.0,36.0,39.0,41.0,46.0,55.0,60.0,65.0,69.0,71.0,82.0,85.0,92.0,99.0,107.0,110.0,117.0,123.0,156.0,179.0,199.0,241.0,275.0,321.0,440.0,522.0,686.0,772.0,933.0,1039.0,1182.0,1246.0,1380.0,1477.0,1903.0,2095.0,2304.0,2393.0,2580.0,2772.0,2879.0,2990.0,3141.0,3198.0,3287.0,3349.0,3489.0,3571.0,3702.0,3794.0,3895.0,3986.0,4115.0,4202.0,4313.0,4407.0,4525.0,4590.0,4722.0,4791.0,4896.0,4995.0,5098.0,5098.0,5283.0,5368.0,5444.0,5527.0,5644.0,5681.0,5765.0,5830.0,5911.0,5985.0,6074.0,6151.0,6220.0,6264.0,6350.0,6428.0,6516.0,6572.0,6653.0,6727.0,6830.0,6905.0,6998.0,7065.0,7190.0,7267.0,7411.0,7539.0,7709.0,7832.0,8025.0,8150.0,8301.0,8438.0,8570.0,8677.0,8823.0,8957.0,9080.0,9209.0,9352.0,9501.0,9713.0,9874.0,10141.0,10333.0,10604.0,10834.0,11158.0,11419.0,11792.0,12062.0,12523.0,12824.0,13232.0,13548.0,13913.0,14201.0,14600.0,14891.0,15226.0,15446.0,15765.0,16060.0,16449.0,16732.0,17163.0,17469.0,17863.0,18191.0,18620.0,18931.0,19271.0,19531.0,19804.0,20022.0,20225.0,20406.0,
05 - 09 años,F,,4.0,5.0,5.0,6.0,9.0,9.0,11.0,12.0,12.0,15.0,15.0,16.0,16.0,18.0,23.0,30.0,31.0,33.0,35.0,37.0,38.0,40.0,44.0,48.0,53.0,55.0,59.0,67.0,73.0,76.0,77.0,81.0,89.0,95.0,95.0,123.0,132.0,148.0,171.0,194.0,231.0,333.0,408.0,537.0,603.0,709.0,788.0,883.0,948.0,1050.0,1124.0,1483.0,1657.0,1868.0,1953.0,2087.0,2240.0,2353.0,2450.0,2580.0,2631.0,2705.0,2787.0,2919.0,3030.0,3165.0,3255.0,3349.0,3456.0,3576.0,3662.0,3773.0,3876.0,3990.0,4072.0,4177.0,4260.0,4371.0,4454.0,4583.0,4583.0,4766.0,4849.0,4926.0,5009.0,5131.0,5177.0,5277.0,5370.0,5444.0,5515.0,5610.0,5689.0,5769.0,5841.0,5937.0,6008.0,6084.0,6155.0,6251.0,6346.0,6453.0,6529.0,6643.0,6713.0,6849.0,6952.0,7114.0,7264.0,7447.0,7598.0,7779.0,7964.0,8207.0,8366.0,8529.0,8659.0,8794.0,8935.0,9100.0,9238.0,9425.0,9624.0,9864.0,10098.0,10408.0,10649.0,11041.0,11350.0,11722.0,12080.0,12477.0,12779.0,13343.0,13730.0,14220.0,14627.0,15098.0,15454.0,15949.0,16316.0,16773.0,17109.0,17557.0,17988.0,18552.0,18901.0,19439.0,19879.0,20420.0,20844.0,21363.0,21757.0,22222.0,22560.0,22872.0,23185.0,23468.0,23693.0,
10 - 14 años,F,,2.0,3.0,4.0,6.0,6.0,9.0,12.0,13.0,15.0,17.0,20.0,20.0,23.0,25.0,34.0,36.0,39.0,42.0,44.0,48.0,48.0,50.0,54.0,57.0,62.0,67.0,71.0,79.0,86.0,89.0,97.0,104.0,113.0,117.0,128.0,155.0,169.0,197.0,226.0,255.0,300.0,403.0,451.0,587.0,690.0,825.0,923.0,1051.0,1137.0,1284.0,1383.0,1827.0,2060.0,2346.0,2453.0,2625.0,2815.0,2937.0,3090.0,3237.0,3329.0,3411.0,3475.0,3635.0,3752.0,3901.0,4008.0,4121.0,4235.0,4376.0,4481.0,4612.0,4719.0,4862.0,4990.0,5142.0,5227.0,5382.0,5530.0,5716.0,5716.0,5944.0,6032.0,6151.0,6250.0,6402.0,6465.0,6570.0,6667.0,6779.0,6866.0,6962.0,7064.0,7180.0,7300.0,7418.0,7521.0,7642.0,7750.0,7868.0,7991.0,8128.0,8252.0,8405.0,8511.0,8731.0,8892.0,9116.0,9368.0,9640.0,9848.0,10135.0,10356.0,10635.0,10852.0,11089.0,11293.0,11520.0,11728.0,11964.0,12168.0,12516.0,12804.0,13207.0,13521.0,13952.0,14303.0,14806.0,15251.0,15783.0,16336.0,17002.0,17481.0,18245.0,18789.0,19578.0,20127.0,20848.0,21372.0,22092.0,22628.0,23290.0,23751.0,24407.0,24940.0,25711.0,26205.0,27002.0,27656.0,28491.0,29122.0,29919.0,30516.0,31230.0,31762.0,32268.0,32688.0,33118.0,33440.0,
15 - 19 años,F,,12.0,14.0,16.0,17.0,20.0,25.0,29.0,32.0,35.0,43.0,48.0,52.0,56.0,64.0,78.0,85.0,89.0,99.0,104.0,108.0,113.0,121.0,131.0,136.0,142.0,152.0,159.0,167.0,178.0,190.0,199.0,209.0,224.0,230.0,239.0,279.0,311.0,349.0,386.0,432.0,490.0,659.0,781.0,1016.0,1228.0,1484.0,1754.0,2001.0,2185.0,2480.0,2715.0,3718.0,4117.0,4627.0,4834.0,5188.0,5509.0,5734.0,5947.0,6217.0,6342.0,6489.0,6604.0,6883.0,7070.0,7316.0,7467.0,7658.0,7838.0,8049.0,8211.0,8430.0,8604.0,8818.0,8975.0,9172.0,9334.0,9560.0,9740.0,9948.0,9948.0,10330.0,10499.0,10686.0,10832.0,11055.0,11147.0,11303.0,11467.0,11651.0,11799.0,11967.0,12118.0,12313.0,12472.0,12665.0,12837.0,13011.0,13169.0,13385.0,13548.0,13815.0,14003.0,14254.0,14414.0,14749.0,15030.0,15490.0,15915.0,16468.0,16871.0,17432.0,17858.0,18393.0,18773.0,19231.0,19570.0,20009.0,20390.0,20824.0,21192.0,21748.0,22230.0,22907.0,23463.0,24254.0,24881.0,25766.0,26568.0,27469.0,28262.0,29290.0,30061.0,31263.0,32103.0,33269.0,34115.0,35199.0,36017.0,37065.0,37778.0,38685.0,39432.0,40449.0,41266.0,42391.0,43183.0,44388.0,45385.0,46646.0,47660.0,48937.0,49867.0,50972.0,51791.0,52556.0,53115.0,53693.0,54143.0,
20 - 24 años,F,,43.0,50.0,54.0,60.0,66.0,66.0,77.0,93.0,101.0,119.0,130.0,138.0,144.0,150.0,177.0,205.0,217.0,230.0,239.0,253.0,264.0,284.0,297.0,316.0,339.0,356.0,374.0,391.0,404.0,426.0,444.0,475.0,496.0,512.0,537.0,652.0,706.0,783.0,876.0,979.0,1155.0,1483.0,1735.0,2319.0,2821.0,3454.0,4005.0,4684.0,5289.0,6131.0,6852.0,9144.0,10152.0,11208.0,11638.0,12323.0,12980.0,13388.0,13840.0,14441.0,14719.0,14990.0,15236.0,15667.0,16009.0,16405.0,16692.0,17027.0,17356.0,17770.0,18084.0,18472.0,18787.0,19161.0,19452.0,19822.0,20065.0,20435.0,20787.0,21184.0,21184.0,21742.0,22011.0,22290.0,22538.0,22933.0,23113.0,23416.0,23679.0,23958.0,24207.0,24503.0,24738.0,25035.0,25248.0,25556.0,25819.0,26076.0,26321.0,26629.0,26951.0,27361.0,27716.0,28135.0,28441.0,29016.0,29444.0,30230.0,30974.0,31861.0,32557.0,33469.0,34159.0,35007.0,35669.0,36381.0,36945.0,37659.0,38232.0,38955.0,39553.0,40515.0,41316.0,42417.0,43350.0,44665.0,45756.0,47245.0,48414.0,49955.0,51208.0,52836.0,54049.0,55873.0,57172.0,58948.0,60306.0,61900.0,63103.0,64684.0,65799.0,67162.0,68193.0,69529.0,70717.0,72339.0,73559.0,75359.0,76893.0,78800.0,80305.0,82148.0,83531.0,85067.0,86143.0,87143.0,87949.0,88727.0,89287.0,
25 - 29 años,F,,65.0,77.0,91.0,109.0,118.0,131.0,151.0,172.0,182.0,222.0,247.0,266.0,281.0,298.0,344.0,372.0,403.0,432.0,458.0,477.0,494.0,518.0,543.0,574.0,599.0,622.0,660.0,696.0,725.0,750.0,781.0,805.0,838.0,869.0,915.0,1062.0,1138.0,1271.0,1428.0,1615.0,1854.0,2503.0,2956.0,3931.0,4645.0,5731.0,6687.0,7689.0,8710.0,10131.0,11231.0,14731.0,16213.0,17766.0,18388.0,19455.0,20400.0,21027.0,21659.0,22586.0,22973.0,23413.0,23734.0,24349.0,24810.0,25340.0,25739.0,26188.0,26628.0,27183.0,27565.0,28136.0,28533.0,29024.0,29379.0,29818.0,30114.0,30569.0,30972.0,31448.0,31448.0,32178.0,32543.0,32929.0,33268.0,33782.0,33992.0,34372.0,34653.0,34989.0,35294.0,35700.0,36000.0,36399.0,36717.0,37065.0,37403.0,37787.0,38107.0,38510.0,38988.0,39496.0,39936.0,40518.0,40911.0,41693.0,42214.0,43260.0,44134.0,45189.0,46071.0,47208.0,48111.0,49119.0,49913.0,50773.0,51495.0,52339.0,53013.0,53850.0,54512.0,55527.0,56480.0,57828.0,58931.0,60569.0,61825.0,63597.0,65043.0,66884.0,68306.0,70225.0,71601.0,73737.0,75251.0,77289.0,78762.0,80652.0,81979.0,83810.0,84960.0,86504.0,87747.0,89415.0,90854.0,92787.0,94193.0,96333.0,97961.0,100124.0,101842.0,104026.0,105528.0,107293.0,108498.0,109756.0,110659.0,111534.0,112194.0,
30 - 34 años,F,,80.0,98.0,113.0,131.0,144.0,160.0,179.0,205.0,221.0,254.0,267.0,281.0,297.0,309.0,357.0,378.0,413.0,440.0,470.0,494.0,515.0,550.0,575.0,603.0,635.0,659.0,682.0,707.0,731.0,756.0,776.0,816.0,840.0,864.0,901.0,1064.0,1140.0,1255.0,1392.0,1539.0,1773.0,2328.0,2691.0,3710.0,4383.0,5399.0,6293.0,7348.0,8336.0,9643.0,10729.0,13729.0,15087.0,16546.0,17197.0,18140.0,19130.0,19698.0,20193.0,21054.0,21405.0,21813.0,22140.0,22679.0,23118.0,23660.0,23985.0,24413.0,24821.0,25301.0,25694.0,26212.0,26623.0,27075.0,27462.0,27872.0,28163.0,28596.0,28957.0,29398.0,29398.0,30064.0,30395.0,30753.0,31045.0,31528.0,31735.0,32082.0,32388.0,32720.0,32982.0,33295.0,33598.0,33933.0,34244.0,34601.0,34942.0,35309.0,35598.0,35998.0,36364.0,36865.0,37266.0,37817.0,38197.0,39004.0,39521.0,40425.0,41189.0,42174.0,43024.0,44077.0,44907.0,45946.0,46660.0,47533.0,48209.0,49097.0,49795.0,50605.0,51289.0,52382.0,53221.0,54501.0,55516.0,57005.0,58176.0,59936.0,61265.0,63010.0,64447.0,66409.0,67710.0,69622.0,71039.0,72927.0,74295.0,76083.0,77327.0,79089.0,80286.0,81833.0,82967.0,84563.0,85920.0,87813.0,89151.0,91218.0,92830.0,94918.0,96624.0,98651.0,100095.0,101747.0,102866.0,104021.0,104891.0,105798.0,106401.0,
35 - 39 años,F,,79.0,95.0,103.0,115.0,124.0,129.0,149.0,163.0,181.0,206.0,228.0,252.0,263.0,277.0,316.0,334.0,358.0,382.0,392.0,419.0,428.0,459.0,488.0,514.0,552.0,570.0,596.0,610.0,636.0,656.0,680.0,708.0,728.0,751.0,776.0,904.0,957.0,1030.0,1144.0,1268.0,1453.0,1884.0,2163.0,2924.0,3551.0,4311.0,5000.0,5866.0,6646.0,7682.0,8522.0,11028.0,12097.0,13271.0,13770.0,14520.0,15286.0,15724.0,16156.0,16818.0,17099.0,17424.0,17669.0,18125.0,18468.0,18873.0,19115.0,19507.0,19832.0,20223.0,20507.0,20871.0,21171.0,21491.0,21815.0,22135.0,22340.0,22694.0,23003.0,23392.0,23392.0,23921.0,24173.0,24432.0,24703.0,25094.0,25243.0,25530.0,25772.0,26027.0,26272.0,26569.0,26774.0,27052.0,27245.0,27515.0,27788.0,28094.0,28337.0,28652.0,28954.0,29357.0,29676.0,30119.0,30416.0,31011.0,31425.0,32171.0,32761.0,33595.0,34200.0,35139.0,35764.0,36549.0,37157.0,37887.0,38424.0,39073.0,39610.0,40257.0,40804.0,41668.0,42383.0,43434.0,44276.0,45512.0,46495.0,47865.0,48991.0,50421.0,51551.0,53133.0,54233.0,55968.0,57149.0,58766.0,59858.0,61329.0,62367.0,63778.0,64746.0,66011.0,66987.0,68336.0,69398.0,70904.0,72034.0,73835.0,75090.0,76821.0,78082.0,79680.0,80871.0,82222.0,83215.0,84137.0,84846.0,85504.0,86058.0,
40 - 44 años,F,,63.0,82.0,90.0,95.0,108.0,113.0,125.0,154.0,160.0,180.0,194.0,209.0,217.0,232.0,272.0,290.0,314.0,329.0,342.0,369.0,387.0,414.0,446.0,472.0,493.0,513.0,523.0,533.0,548.0,568.0,585.0,611.0,626.0,641.0,664.0,762.0,819.0,907.0,1005.0,1119.0,1247.0,1597.0,1859.0,2440.0,2984.0,3574.0,4170.0,4844.0,5466.0,6309.0,7062.0,9132.0,10081.0,11115.0,11528.0,12174.0,12823.0,13199.0,13607.0,14221.0,14441.0,14745.0,14980.0,15352.0,15636.0,16024.0,16256.0,16560.0,16813.0,17122.0,17391.0,17720.0,17992.0,18286.0,18564.0,18812.0,19012.0,19304.0,19573.0,19868.0,19868.0,20343.0,20535.0,20781.0,20985.0,21334.0,21459.0,21671.0,21882.0,22090.0,22254.0,22472.0,22670.0,22894.0,23100.0,23344.0,23595.0,23869.0,24087.0,24372.0,24617.0,25001.0,25296.0,25697.0,25927.0,26419.0,26723.0,27320.0,27856.0,28588.0,29126.0,29907.0,30493.0,31192.0,31725.0,32362.0,32852.0,33459.0,33918.0,34471.0,34958.0,35757.0,36346.0,37293.0,38028.0,39090.0,39920.0,41150.0,42115.0,43440.0,44432.0,45803.0,46768.0,48287.0,49272.0,50677.0,51685.0,52890.0,53894.0,55167.0,55978.0,57033.0,57828.0,58936.0,59847.0,61165.0,62156.0,63507.0,64630.0,66054.0,67124.0,68448.0,69437.0,70582.0,71378.0,72112.0,72715.0,73289.0,73749.0,
