Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,34.0,37.0,63.0,100.0,154.0,253.0,392.0,508.0,654.0,639.0,861.0,1370.0,1684.0,1848.0,1752.0,1755.0,1359.0,1071.0,929.0,983.0,909.0,786.0,645.0,629.0,488.0,403.0,325.0,368.0,379.0,367.0,296.0,105.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,32.0,42.0,23.0,3.0,14.0,13.0,3.0,4.0,5.0,4.0,1.0
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,2.0,4.0,9.0,6.0,12.0,11.0,10.0,19.0,13.0,21.0,35.0,17.0,7.0,2.0,1.0,0.0,0.0,1.0
Atacama,03,Copiapo,03101,171766.0,0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,12.0,28.0,27.0,14.0,26.0,57.0,114.0,120.0,145.0,153.0,173.0,196.0,301.0,510.0,654.0,636.0,392.0,258.0,149.0,123.0,154.0,91.0,62.0,85.0,85.0,86.0,19.0
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,3.0,9.0,4.0,2.0,10.0,6.0,1.0,5.0,1.0,11.0,44.0,19.0,41.0,7.0,13.0,14.0,27.0,27.0,42.0,21.0,1.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,10.0,23.0,6.0,4.0,7.0,20.0,24.0,15.0,10.0,6.0,7.0,8.0,22.0,10.0,8.0,1.0,1.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,1.0,9.0,9.0,3.0,10.0,16.0,8.0,22.0,15.0,28.0,20.0,12.0,10.0,9.0,2.0
Atacama,03,Tierra Amarilla,03103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,11.0,5.0,14.0,22.0,23.0,40.0,49.0,49.0,33.0,17.0,22.0,5.0,6.0,2.0,6.0,19.0,25.0,12.0,0.0
Atacama,03,Vallenar,03301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,11.0,10.0,13.0,3.0,6.0,16.0,27.0,54.0,66.0,54.0,73.0,59.0,33.0,35.0,39.0,39.0,62.0,65.0,86.0,136.0,97.0,136.0,125.0,67.0,50.0,32.0,6.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,3.0,2.0,0.0,11.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,8.0,9.0,25.0,47.0,53.0,24.0,37.0,86.0,169.0,216.0,262.0,240.0,297.0,324.0,394.0,637.0,794.0,842.0,632.0,452.0,362.0,338.0,325.0,300.0,272.0,226.0,225.0,167.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,6.0,0.0,5.0,7.0,4.0,3.0,3.0,2.0,5.0,5.0,10.0,16.0,15.0,26.0,20.0,12.0,12.0,11.0,6.0,2.0,0.0
