Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,44.0,44.0,30.0,13.0,12.0,11.0,7.0,40.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,2.0,3.0,2.0,12.0,46.0,33.0,15.0,14.0,3.0,2.0,1.0,9.0,9.0,9.0,13.0,14.0,13.0,7.0,8.0,15.0,9.0,9.0,4.0,15.0,16.0,11.0,0.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,39.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,22.0,16.0,14.0,8.0,18.0,18.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,6.0,16.0,23.0,31.0,25.0,25.0,30.0,99.0,96.0,113.0,104.0,73.0,80.0,57.0,57.0,41.0,20.0,23.0,26.0,15.0,20.0,28.0,24.0,15.0,9.0,21.0,14.0,34.0,29.0,29.0,11.0,7.0,0.0
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,18.0,21.0,32.0,35.0,35.0,36.0,46.0,19.0,20.0,19.0,19.0,13.0,9.0,9.0,4.0,2.0,14.0,7.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,45.0,20.0,31.0,59.0,36.0,36.0,28.0,20.0,18.0,18.0,12.0,7.0,12.0,6.0,25.0,12.0,16.0,24.0,16.0,8.0,12.0,18.0,15.0,39.0,23.0,12.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,9.0,6.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,12.0,7.0,11.0,20.0,16.0,2.0,10.0,10.0,15.0,9.0,1.0,3.0,4.0,6.0,7.0,2.0,13.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,16.0,10.0,17.0,14.0,12.0,19.0,16.0,17.0,5.0,12.0,33.0,40.0,79.0,44.0,50.0,17.0,21.0,27.0,34.0,21.0,19.0,12.0,11.0,14.0,18.0,15.0,10.0,25.0,6.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,8.0,8.0,3.0,6.0,25.0,50.0,61.0,42.0,22.0,22.0,7.0,8.0,8.0,9.0,19.0,14.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,11.0,6.0,3.0,2.0,5.0,0.0,11.0,12.0,15.0,8.0,29.0,43.0,67.0,103.0,112.0,95.0,70.0,84.0,87.0,72.0,71.0,68.0,43.0,49.0,36.0,46.0,42.0,28.0,48.0,60.0,52.0,43.0,44.0,36.0,42.0,16.0,6.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,41.0,30.0,26.0,20.0,21.0,21.0,25.0,26.0,13.0,13.0,9.0,4.0,8.0,3.0,4.0,6.0,10.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,6.0,12.0,12.0,14.0,35.0,15.0,16.0,12.0,3.0,16.0,3.0,9.0,5.0,23.0,17.0,18.0,22.0,22.0,23.0,16.0,13.0,14.0,21.0,14.0,16.0,19.0,7.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,34.0,37.0,64.0,100.0,154.0,251.0,394.0,508.0,653.0,636.0,852.0,1350.0,1673.0,1836.0,1743.0,1751.0,1354.0,1075.0,933.0,985.0,902.0,781.0,631.0,600.0,505.0,417.0,331.0,379.0,375.0,371.0,310.0,321.0,248.0,228.0,205.0,171.0,175.0,212.0,338.0,470.0,579.0,1061.0,1990.0,2231.0,2058.0,2040.0,1987.0,1643.0,1503.0,1472.0,1400.0,1473.0,1510.0,1371.0,1483.0,1536.0,1505.0,1295.0,1063.0,1108.0,1172.0,1157.0,1273.0,1235.0,1114.0,1020.0,891.0,190.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,5.0,4.0,5.0,18.0,11.0,3.0,9.0,17.0,2.0,17.0,5.0,18.0,9.0,1.0,4.0,4.0,8.0,19.0,7.0,18.0,6.0,6.0,2.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,31.0,43.0,23.0,3.0,14.0,13.0,3.0,3.0,6.0,3.0,4.0,9.0,1.0,1.0,5.0,1.0,1.0,10.0,29.0,21.0,13.0,23.0,17.0,39.0,30.0,17.0,17.0,28.0,57.0,45.0,71.0,55.0,60.0,59.0,76.0,60.0,49.0,25.0,14.0,25.0,56.0,65.0,27.0,49.0,47.0,41.0,6.0
