Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,77.0,46.0,51.0,19.0,19.0,10.0,17.0,39.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,22.0,16.0,14.0,8.0,19.0,17.0,7.0,7.0,15.0,10.0,14.0,11.0,5.0,9.0,7.0,16.0,23.0,31.0,25.0,25.0,30.0,99.0,96.0,113.0,106.0,73.0,81.0,56.0,56.0,41.0,20.0,22.0,18.0,0.0
Antofagasta,02,Ollague,02202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,18.0,22.0,33.0,35.0,35.0,36.0,46.0,19.0,20.0,19.0,18.0,13.0,9.0,9.0,4.0,2.0,14.0,7.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,45.0,20.0,31.0,59.0,36.0,36.0,28.0,20.0,17.0,18.0,12.0,6.0,0.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0
Antofagasta,02,Taltal,02104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,12.0,7.0,11.0,20.0,16.0,2.0,10.0,10.0,15.0,9.0,2.0,4.0,2.0,6.0,7.0,2.0,13.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,16.0,10.0,17.0,14.0,12.0,19.0,15.0,18.0,5.0,12.0,33.0,41.0,79.0,43.0,25.0,0.0
Antofagasta,02,Tocopilla,02301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,6.0,8.0,8.0,3.0,6.0,26.0,50.0,61.0,42.0,22.0,22.0,7.0,8.0,9.0,9.0,19.0,14.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,11.0,6.0,3.0,2.0,4.0,0.0,11.0,12.0,15.0,8.0,29.0,43.0,67.0,103.0,113.0,95.0,70.0,84.0,87.0,73.0,71.0,64.0,31.0,0.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,41.0,30.0,26.0,20.0,21.0,21.0,25.0,26.0,13.0,13.0,9.0,4.0,8.0,3.0,5.0,6.0,10.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,6.0,14.0,12.0,15.0,35.0,16.0,16.0,12.0,3.0,16.0,4.0,15.0,48.0,0.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,35.0,37.0,63.0,101.0,154.0,253.0,394.0,509.0,653.0,636.0,854.0,1353.0,1678.0,1837.0,1745.0,1753.0,1352.0,1077.0,934.0,986.0,908.0,784.0,638.0,620.0,494.0,402.0,327.0,379.0,375.0,371.0,311.0,322.0,248.0,226.0,206.0,174.0,176.0,212.0,337.0,470.0,579.0,1058.0,2002.0,2231.0,2065.0,2043.0,1991.0,1650.0,1511.0,1473.0,1393.0,1475.0,1481.0,907.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,14.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,5.0,4.0,5.0,18.0,11.0,3.0,9.0,17.0,0.0,0.0
Atacama,03,Caldera,03102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,14.0,7.0,6.0,19.0,20.0,24.0,57.0,31.0,43.0,23.0,3.0,14.0,13.0,3.0,3.0,6.0,3.0,4.0,9.0,1.0,0.0,5.0,0.0,1.0,10.0,29.0,21.0,13.0,23.0,17.0,39.0,30.0,17.0,18.0,28.0,57.0,46.0,71.0,55.0,34.0,0.0
Atacama,03,Chanaral,03201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,2.0,4.0,9.0,6.0,12.0,11.0,10.0,19.0,13.0,21.0,35.0,17.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,16.0,21.0,23.0,16.0,8.0,17.0,40.0,32.0,42.0,27.0,33.0,12.0,0.0
Atacama,03,Copiapo,03101,171766.0,0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,12.0,28.0,27.0,14.0,26.0,58.0,114.0,117.0,146.0,154.0,173.0,196.0,301.0,510.0,653.0,633.0,390.0,260.0,148.0,123.0,154.0,93.0,62.0,85.0,71.0,93.0,91.0,31.0,12.0,22.0,14.0,25.0,26.0,28.0,41.0,56.0,148.0,255.0,296.0,256.0,294.0,244.0,261.0,246.0,280.0,234.0,257.0,267.0,193.0,1.0
Atacama,03,Diego de Almagro,03202,14358.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,7.0,3.0,9.0,4.0,2.0,10.0,6.0,1.0,5.0,1.0,11.0,44.0,20.0,40.0,7.0,13.0,15.0,27.0,27.0,33.0,26.0,21.0,11.0,2.0,5.0,5.0,0.0,3.0,1.0,6.0,5.0,7.0,29.0,42.0,48.0,30.0,18.0,16.0,11.0,21.0,22.0,26.0,45.0,18.0,0.0
Atacama,03,Freirina,03303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,10.0,23.0,6.0,4.0,8.0,20.0,24.0,15.0,10.0,6.0,7.0,8.0,22.0,10.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,8.0,6.0,12.0,36.0,24.0,22.0,17.0,13.0,15.0,18.0,18.0,10.0,0.0
Atacama,03,Huasco,03304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,6.0,3.0,0.0,1.0,9.0,9.0,3.0,10.0,16.0,8.0,22.0,15.0,28.0,20.0,12.0,9.0,11.0,8.0,16.0,7.0,10.0,27.0,23.0,5.0,1.0,0.0,0.0,1.0,3.0,7.0,12.0,41.0,37.0,26.0,20.0,10.0,29.0,40.0,20.0,4.0,0.0
