date,comuna,region,IM_interno,IM_externo,IM
20210204,Peñalolén,R13,0.0,0.0,0.0
20210205,Peñalolén,R13,5.5432017659116,6.537420507699585,12.080622273611185
20210206,Peñalolén,R13,5.160219687812057,4.965654070531349,10.125873758343406
20210207,Peñalolén,R13,0.0,0.0,0.0
20210208,Peñalolén,R13,0.0,0.0,0.0
20210209,Peñalolén,R13,5.321227729016661,6.057234456298944,11.378462185315607
20210210,Peñalolén,R13,5.211856835023913,5.969227939244232,11.181084774268145
20210211,Peñalolén,R13,5.27429442371367,6.0885320859830765,11.362826509696744
20210212,Peñalolén,R13,5.418300310085669,6.329899616334683,11.74819992642035
20210213,Peñalolén,R13,5.521600882955799,5.486072423398329,11.007673306354127
20210214,Peñalolén,R13,5.08803279550113,5.019130708992486,10.107163504493617
20210215,Peñalolén,R13,5.241735428601461,5.99550638566248,11.237241814263939
20210216,Peñalolén,R13,5.249671519419771,6.0316655279339875,11.281337047353759
20210217,Peñalolén,R13,5.3795921585115885,6.004756398801702,11.384348557313292
20210218,Peñalolén,R13,5.282861197246018,6.033215956272665,11.316077153518686
20210219,Peñalolén,R13,5.577731644505176,6.385242024491513,11.962973668996687
20210220,Peñalolén,R13,5.585983076680506,5.6654490986492885,11.251432175329798
20210221,Peñalolén,R13,5.209754559310453,5.152625216797183,10.362379776107637
20210222,Peñalolén,R13,5.634703316339937,6.327849897514058,11.962553213853994
20210223,Peñalolén,R13,5.568113733116097,6.388868450097231,11.956982183213329
20210224,Peñalolén,R13,5.644899353550218,6.3804330687969735,12.02533242234719
20210225,Peñalolén,R13,5.600173437746362,6.488122142218952,12.088295579965312
20210226,Peñalolén,R13,5.917459399800284,6.895779681505231,12.813239081305516
20210227,Peñalolén,R13,5.972328795921585,6.201319178010197,12.17364797393178
20210228,Peñalolén,R13,5.624165659326222,5.62897461502076,11.25314027434698
20210301,Peñalolén,R13,5.8695275135334,6.647763704209807,12.517291217743207
20210302,Peñalolén,R13,6.1384874126241655,6.871367004782678,13.009854417406842
20210303,Peñalolén,R13,6.261759604772166,6.98604614495191,13.247805749724073
20210304,Peñalolén,R13,6.316208545750776,7.098465338729175,13.41467388447995
20210305,Peñalolén,R13,6.7516686813475575,7.6625321910968625,14.41420087244442
20210306,Peñalolén,R13,5.612734535134283,5.38631944079466,10.999053975928943
20210307,Peñalolén,R13,5.354548799074999,4.94991328112682,10.30446208020182
20210308,Peñalolén,R13,6.4295474851526775,7.165291427970778,13.594838913123455
20210309,Peñalolén,R13,6.307878278236191,7.070268565722394,13.378146843958586
20210310,Peñalolén,R13,6.395832238398067,7.076969569559048,13.472801807957113
20210311,Peñalolén,R13,6.229148052767121,7.068560466705207,13.29770851947233
20210312,Peñalolén,R13,6.587533505019183,7.61922531139959,14.206758816418773
20210313,Peñalolén,R13,5.621353865559469,5.034214537236559,10.655568402796025
20210314,Peñalolén,R13,5.1824775319283125,4.6113680559205354,9.793845587848846
20210315,Peñalolén,R13,6.120933410416776,7.009775582067587,13.130708992484365
20210316,Peñalolén,R13,5.918825879014032,6.821937247069952,12.740763126083989
20210317,Peñalolén,R13,6.087428391233511,7.012219477584486,13.099647868817994
20210318,Peñalolén,R13,5.900089346717823,6.593078257213434,12.493167603931255
20210319,Peñalolén,R13,6.195012350869818,6.984127818363378,13.179140169233197
20210320,Peñalolén,R13,5.2704314920901885,4.7685394439480735,10.03897093603826
20210321,Peñalolén,R13,4.878251957744258,4.554895674567718,9.433147632311977
20210322,Peñalolén,R13,6.0486151258737575,6.8005465916855,12.849161717559259
20210323,Peñalolén,R13,6.300861933042518,7.190334787407367,13.491196720449883
20210324,Peñalolén,R13,6.500656961160456,7.429678877384768,13.930335838545224
20210325,Peñalolén,R13,5.1656330477742145,5.745834866242706,10.911467914016924
20210326,Peñalolén,R13,5.424081568297682,5.991039049771378,11.415120618069059
20210327,Peñalolén,R13,4.276186471855784,3.73590161349661,8.012088085352394
20210328,Peñalolén,R13,4.3155253061439005,3.794187207652284,8.109712513796184
20201214,Pirque,R13,5.108108108108109,4.792966042966043,9.901074151074152
20201215,Pirque,R13,5.035862785862786,4.906271656271656,9.942134442134444
20201216,Pirque,R13,5.077269577269577,4.888600138600138,9.965869715869717
20201217,Pirque,R13,5.190055440055441,4.9019404019404025,10.091995841995844
20201218,Pirque,R13,5.525987525987526,5.214656964656965,10.740644490644494
20201219,Pirque,R13,5.115038115038115,4.001732501732501,9.116770616770618
20201220,Pirque,R13,4.633922383922384,3.301628551628552,7.935550935550935
20201221,Pirque,R13,5.231462231462231,5.085412335412336,10.316874566874569
20201222,Pirque,R13,5.363132363132364,5.1891891891891895,10.552321552321553
20201223,Pirque,R13,5.495841995841997,5.295564795564795,10.791406791406793
20201224,Pirque,R13,5.551455301455301,4.921171171171171,10.472626472626473
20201225,Pirque,R13,5.8490990990990985,4.7129244629244615,10.562023562023562
20201226,Pirque,R13,4.9904712404712415,3.875606375606376,8.866077616077618
20201227,Pirque,R13,4.4930699930699936,3.4397089397089395,7.932778932778933
20201228,Pirque,R13,5.0990990990990985,5.024774774774776,10.123873873873872
20201229,Pirque,R13,5.008662508662509,5.151767151767151,10.16042966042966
20201230,Pirque,R13,5.500519750519751,5.333160083160084,10.833679833679836
20201231,Pirque,R13,5.746534996534996,5.07969507969508,10.826230076230075
20210101,Pirque,R13,6.646916146916148,4.894837144837145,11.541753291753292
20210102,Pirque,R13,5.182952182952183,3.801628551628552,8.984580734580735
